open,high,low,close,volume,tradingDate
7674.0,9208.0,7674.0,7878.0,104680,2016-06-06
7878.0,8390.0,7469.0,7725.0,40330,2016-06-13
7878.0,8134.0,7674.0,7776.0,50140,2016-06-20
7469.0,7980.0,7469.0,7827.0,73730,2016-06-27
7674.0,8083.0,7674.0,8032.0,46890,2016-07-04
8032.0,8032.0,7725.0,7827.0,43960,2016-07-11
7776.0,8083.0,7776.0,8083.0,40940,2016-07-18
8083.0,9720.0,8032.0,9464.0,149270,2016-07-25
9413.0,9617.0,8952.0,9106.0,107760,2016-08-01
9208.0,9720.0,9106.0,9464.0,80400,2016-08-08
9464.0,9464.0,9106.0,9106.0,42860,2016-08-15
9259.0,9311.0,9106.0,9208.0,88750,2016-08-22
9208.0,9464.0,9208.0,9464.0,58340,2016-08-29
9259.0,9924.0,9106.0,9464.0,50790,2016-09-05
9259.0,9950.0,9259.0,9566.0,21410,2016-09-12
9336.0,9515.0,8697.0,9336.0,72270,2016-09-19
9336.0,9336.0,9055.0,9259.0,65810,2016-09-26
9106.0,9208.0,8799.0,8799.0,68790,2016-10-03
8952.0,9208.0,8697.0,8952.0,56710,2016-10-10
9208.0,9566.0,9208.0,9311.0,168360,2016-10-17
9311.0,9873.0,9311.0,9464.0,82900,2016-10-24
9669.0,9669.0,9259.0,9413.0,120970,2016-10-31
9515.0,10001.0,9208.0,10001.0,296280,2016-11-07
10564.0,10564.0,9515.0,10078.0,283610,2016-11-14
10078.0,10078.0,9797.0,9822.0,193550,2016-11-21
9873.0,9873.0,9515.0,9720.0,89120,2016-11-28
9720.0,9720.0,9362.0,9669.0,38080,2016-12-05
9464.0,9541.0,9055.0,9208.0,73450,2016-12-12
9259.0,9605.0,8982.0,9199.0,79060,2016-12-19
9091.0,9415.0,8820.0,9415.0,50120,2016-12-26
9415.0,9415.0,9145.0,9199.0,7550,2017-01-03
9199.0,9199.0,8766.0,8982.0,45170,2017-01-09
9199.0,9659.0,8982.0,9145.0,100380,2017-01-16
9145.0,9415.0,8982.0,9199.0,3570,2017-01-23
9199.0,9361.0,8982.0,9199.0,11940,2017-02-02
9280.0,9361.0,8928.0,9199.0,65640,2017-02-06
9253.0,9253.0,8928.0,9091.0,39690,2017-02-13
9091.0,9145.0,8928.0,9037.0,95790,2017-02-20
8928.0,9091.0,8928.0,8955.0,44820,2017-02-27
8928.0,9091.0,8901.0,9064.0,31420,2017-03-06
9064.0,9145.0,8847.0,9064.0,21500,2017-03-13
9253.0,9361.0,8874.0,8982.0,5070,2017-03-20
9010.0,9037.0,8847.0,8901.0,72750,2017-03-27
8928.0,9145.0,8847.0,8874.0,25890,2017-04-03
8874.0,9263.0,8847.0,8928.0,11400,2017-04-10
8928.0,9207.0,8928.0,9040.0,51670,2017-04-17
8984.0,9040.0,8873.0,9040.0,37500,2017-04-24
9040.0,9207.0,8928.0,9179.0,16670,2017-05-03
9179.0,9179.0,9096.0,9152.0,5550,2017-05-08
8984.0,9096.0,8928.0,9040.0,42650,2017-05-15
9012.0,9096.0,8928.0,8984.0,30610,2017-05-22
8928.0,8984.0,8873.0,8928.0,56880,2017-05-29
8928.0,8984.0,8817.0,8928.0,5290,2017-06-05
8928.0,8928.0,8817.0,8817.0,13510,2017-06-12
8817.0,9040.0,8817.0,8928.0,95570,2017-06-19
8928.0,8984.0,8928.0,8984.0,71070,2017-06-26
8928.0,9040.0,8928.0,8928.0,57350,2017-07-03
8928.0,9096.0,8928.0,9068.0,16710,2017-07-10
8984.0,9096.0,8928.0,9012.0,73070,2017-07-17
9012.0,9207.0,8984.0,9096.0,135310,2017-07-24
8928.0,8984.0,8873.0,8984.0,36530,2017-07-31
8984.0,9207.0,8928.0,9207.0,62290,2017-08-07
9207.0,9207.0,8873.0,9096.0,18240,2017-08-14
9152.0,9152.0,8873.0,9068.0,32900,2017-08-21
8928.0,9152.0,8928.0,9040.0,23080,2017-08-28
9040.0,9096.0,9040.0,9040.0,10020,2017-09-05
9040.0,9040.0,8928.0,8928.0,35760,2017-09-11
8928.0,8956.0,8928.0,8928.0,18070,2017-09-18
9040.0,9040.0,8928.0,8984.0,12360,2017-09-25
8928.0,9152.0,8928.0,9012.0,18820,2017-10-02
9207.0,10268.0,9040.0,9793.0,65690,2017-10-09
9542.0,9793.0,9486.0,9486.0,24730,2017-10-16
9486.0,9486.0,8984.0,9263.0,9090,2017-10-23
9263.0,9375.0,8984.0,9040.0,11100,2017-10-30
9179.0,9486.0,9068.0,9207.0,11730,2017-11-06
9068.0,9375.0,9040.0,9152.0,3950,2017-11-13
9179.0,9263.0,9040.0,9263.0,18560,2017-11-20
9207.0,9319.0,9207.0,9319.0,66840,2017-11-27
9319.0,9486.0,9319.0,9486.0,23660,2017-12-04
9096.0,9431.0,9096.0,9124.0,7430,2017-12-11
9124.0,9319.0,9096.0,9096.0,3320,2017-12-18
9096.0,9152.0,9040.0,9040.0,7790,2017-12-25
9040.0,9319.0,9040.0,9319.0,8370,2018-01-02
9319.0,9319.0,8928.0,9235.0,13390,2018-01-08
9152.0,10044.0,9152.0,9486.0,20490,2018-01-15
9486.0,10044.0,9319.0,9319.0,5020,2018-01-22
9319.0,9486.0,9040.0,9207.0,12360,2018-01-29
9152.0,9877.0,8928.0,9040.0,77790,2018-02-05
9486.0,9486.0,9319.0,9375.0,3240,2018-02-12
9207.0,9319.0,9096.0,9319.0,28210,2018-02-21
9319.0,9682.0,9207.0,9267.0,32490,2018-02-26
9267.0,9267.0,9088.0,9118.0,31900,2018-03-05
9088.0,9504.0,9088.0,9504.0,8810,2018-03-12
9504.0,9504.0,9029.0,9207.0,1200,2018-03-19
9326.0,9890.0,9207.0,9890.0,13230,2018-03-26
9267.0,9801.0,9267.0,9326.0,25510,2018-04-02
9326.0,9861.0,9267.0,9623.0,21850,2018-04-09
9504.0,9564.0,9148.0,9289.0,60660,2018-04-16
9504.0,9504.0,9136.0,9167.0,1540,2018-04-23
9442.0,9442.0,8891.0,8983.0,16100,2018-05-02
9013.0,9381.0,8952.0,9197.0,154450,2018-05-07
9197.0,9197.0,8891.0,9167.0,7470,2018-05-14
9013.0,9013.0,8645.0,8645.0,22030,2018-05-21
8645.0,9167.0,8400.0,9167.0,3960,2018-05-28
9167.0,9167.0,8707.0,9013.0,12760,2018-06-04
9228.0,9228.0,8584.0,9075.0,5040,2018-06-11
8584.0,9167.0,8400.0,9013.0,14520,2018-06-18
9013.0,9442.0,8952.0,9075.0,4990,2018-06-25
8952.0,8952.0,8707.0,8891.0,11100,2018-07-02
8645.0,8952.0,8645.0,8829.0,13530,2018-07-09
8829.0,9136.0,8768.0,8891.0,4190,2018-07-16
8768.0,8768.0,8277.0,8584.0,20010,2018-07-23
8400.0,9320.0,8400.0,9320.0,5630,2018-07-30
8707.0,8891.0,8584.0,8891.0,7410,2018-08-06
8891.0,8952.0,8369.0,8891.0,4410,2018-08-13
8584.0,9167.0,8584.0,9167.0,8300,2018-08-20
8768.0,9197.0,8584.0,9197.0,9270,2018-08-27
9197.0,9381.0,9167.0,9381.0,17000,2018-09-04
9381.0,9381.0,8921.0,8921.0,6580,2018-09-10
8952.0,9259.0,8952.0,9259.0,60,2018-09-17
8891.0,9197.0,8768.0,9136.0,9160,2018-09-24
8891.0,9289.0,8829.0,9289.0,2540,2018-10-01
8768.0,9259.0,8768.0,9136.0,1540,2018-10-08
9136.0,9197.0,8645.0,9197.0,6890,2018-10-15
9197.0,9197.0,9136.0,9197.0,230,2018-10-22
8768.0,9565.0,8768.0,9013.0,11640,2018-10-29
9013.0,9075.0,8737.0,9075.0,35530,2018-11-05
9075.0,9167.0,8829.0,9167.0,330,2018-11-12
9167.0,9197.0,8891.0,9013.0,2650,2018-11-19
8768.0,9504.0,8768.0,9197.0,1040,2018-11-26
9197.0,9197.0,8891.0,9197.0,4570,2018-12-03
9197.0,9197.0,8891.0,9197.0,2020,2018-12-10
9197.0,9350.0,8707.0,9350.0,57000,2018-12-17
9350.0,9688.0,9013.0,9626.0,11200,2018-12-24
9688.0,9933.0,9504.0,9933.0,6870,2019-01-02
10117.0,10845.0,9933.0,10845.0,17370,2019-01-07
11014.0,11149.0,10068.0,10812.0,640,2019-01-14
10136.0,10812.0,9764.0,10339.0,12790,2019-01-21
9663.0,10676.0,9629.0,10676.0,15170,2019-01-28
10676.0,10676.0,10339.0,10474.0,14150,2019-02-11
10339.0,10406.0,9865.0,10406.0,7710,2019-02-18
10406.0,10676.0,10068.0,10609.0,4310,2019-02-25
10609.0,10609.0,10136.0,10609.0,7540,2019-03-04
10203.0,12670.0,10203.0,12095.0,121190,2019-03-11
12095.0,13987.0,12095.0,13514.0,308100,2019-03-18
13717.0,13717.0,12501.0,12906.0,95850,2019-03-25
12974.0,14596.0,12839.0,14393.0,346460,2019-04-01
13987.0,14460.0,13278.0,14190.0,138260,2019-04-08
14190.0,14190.0,13514.0,13852.0,123160,2019-04-16
13852.0,13852.0,13177.0,13582.0,45270,2019-04-22
13582.0,13582.0,12704.0,12839.0,19740,2019-05-02
12839.0,13379.0,12264.0,13379.0,42610,2019-05-06
13312.0,13867.0,12827.0,13381.0,54200,2019-05-13
13381.0,13693.0,12896.0,13173.0,71500,2019-05-20
12965.0,16501.0,12965.0,15600.0,594740,2019-05-27
14976.0,19899.0,14976.0,19864.0,716040,2019-06-03
18928.0,19864.0,17680.0,17819.0,338810,2019-06-10
18096.0,20765.0,17195.0,20037.0,404820,2019-06-17
19829.0,20453.0,18720.0,19275.0,184910,2019-06-24
19275.0,20315.0,18928.0,19760.0,348300,2019-07-01
19413.0,22984.0,19067.0,22256.0,525960,2019-07-08
22221.0,23573.0,20453.0,22464.0,406780,2019-07-15
23920.0,24613.0,23227.0,24197.0,591200,2019-07-22
24197.0,27872.0,23920.0,27525.0,936160,2019-07-29
27664.0,28357.0,26000.0,26555.0,647510,2019-08-05
26485.0,26555.0,21147.0,23157.0,879110,2019-08-12
23157.0,25099.0,22325.0,24267.0,686630,2019-08-19
24267.0,24267.0,21077.0,21077.0,463060,2019-08-26
21077.0,21493.0,18581.0,20107.0,536480,2019-09-03
19552.0,19691.0,18027.0,18893.0,419610,2019-09-09
18928.0,20107.0,18443.0,18581.0,230690,2019-09-16
18581.0,18581.0,16120.0,17195.0,540750,2019-09-23
17507.0,18304.0,16813.0,17299.0,155420,2019-09-30
16987.0,17333.0,16432.0,16605.0,101180,2019-10-07
16155.0,17333.0,15808.0,16779.0,105730,2019-10-14
17299.0,17992.0,16640.0,17541.0,217830,2019-10-21
17368.0,18512.0,16952.0,17195.0,148850,2019-10-28
17195.0,17264.0,16363.0,16779.0,97520,2019-11-04
16640.0,16640.0,15600.0,15600.0,127050,2019-11-11
15600.0,16085.0,15253.0,15669.0,77850,2019-11-18
15669.0,16363.0,15392.0,15600.0,130990,2019-11-25
15877.0,15877.0,13659.0,13659.0,90620,2019-12-02
14005.0,15531.0,13520.0,15357.0,169700,2019-12-09
15531.0,15739.0,14560.0,14699.0,133880,2019-12-16
14907.0,15531.0,14075.0,15045.0,244060,2019-12-23
15268.0,15343.0,14747.0,14970.0,26790,2019-12-30
15306.0,15306.0,14002.0,14672.0,62650,2020-01-02
14226.0,14821.0,13406.0,13481.0,63670,2020-01-06
13481.0,13779.0,13257.0,13518.0,54990,2020-01-13
13518.0,13779.0,13108.0,13481.0,51860,2020-01-20
13481.0,13481.0,11917.0,11917.0,81820,2020-01-30
12140.0,12513.0,11097.0,12215.0,243650,2020-02-03
12140.0,12773.0,11693.0,12438.0,97990,2020-02-10
12364.0,15045.0,12364.0,14151.0,256640,2020-02-17
14151.0,14375.0,12662.0,13481.0,217070,2020-02-24
13481.0,14449.0,13406.0,13630.0,84640,2020-03-02
13257.0,13406.0,11097.0,11693.0,420320,2020-03-09
11321.0,11693.0,10427.0,10874.0,217670,2020-03-16
10800.0,11321.0,10055.0,11023.0,126590,2020-03-23
10837.0,11023.0,10055.0,10800.0,136200,2020-03-30
10800.0,11544.0,10800.0,11023.0,89090,2020-04-06
11060.0,12513.0,10874.0,12289.0,187550,2020-04-13
12438.0,12885.0,11023.0,11842.0,369670,2020-04-20
12140.0,14077.0,12140.0,13779.0,553470,2020-04-27
13630.0,14151.0,12922.0,13965.0,1335830,2020-05-04
13928.0,14710.0,13741.0,13779.0,949720,2020-05-11
13481.0,14002.0,13406.0,13593.0,658860,2020-05-18
13928.0,16311.0,13704.0,15715.0,2290770,2020-05-25
16013.0,17577.0,16013.0,16311.0,1710140,2020-06-01
16981.0,16981.0,14300.0,14821.0,1435680,2020-06-08
14821.0,16162.0,14784.0,15901.0,823730,2020-06-15
15827.0,16050.0,15231.0,15268.0,609890,2020-06-22
15194.0,15306.0,14151.0,14747.0,573030,2020-06-29
14747.0,15231.0,14672.0,14896.0,770770,2020-07-06
14896.0,15715.0,14859.0,15641.0,837270,2020-07-13
16013.0,16423.0,14747.0,14784.0,1543860,2020-07-20
14561.0,14561.0,13034.0,13369.0,1135020,2020-07-27
13406.0,14784.0,13369.0,14002.0,1219980,2020-08-03
14300.0,17875.0,14300.0,17130.0,2751110,2020-08-10
17130.0,20407.0,16385.0,19216.0,2346540,2020-08-17
19067.0,20631.0,18099.0,19551.0,2468600,2020-08-24
19439.0,19737.0,18247.0,19216.0,1590080,2020-08-31
19514.0,21189.0,18322.0,20482.0,2139660,2020-09-07
21152.0,21152.0,19923.0,20184.0,1492160,2020-09-14
20258.0,21152.0,19961.0,20109.0,1454150,2020-09-21
20147.0,20631.0,19737.0,20109.0,1269700,2020-09-28
20109.0,22344.0,20109.0,21599.0,2270930,2020-10-05
21599.0,21971.0,21078.0,21152.0,891920,2020-10-12
21152.0,21822.0,21078.0,21525.0,420820,2020-10-19
21599.0,21860.0,18806.0,20519.0,660380,2020-10-26
20184.0,21413.0,20072.0,20631.0,362820,2020-11-02
20631.0,21376.0,20258.0,21078.0,549080,2020-11-09
21376.0,24131.0,21078.0,23610.0,1039890,2020-11-16
23759.0,25323.0,23238.0,24615.0,750550,2020-11-23
24727.0,26291.0,24169.0,25919.0,592870,2020-11-30
25919.0,26068.0,25137.0,25695.0,570250,2020-12-07
26068.0,27371.0,25509.0,27185.0,591840,2020-12-14
27073.0,33776.0,27073.0,32734.0,1354430,2020-12-21
33665.0,36309.0,32920.0,35750.0,771410,2020-12-28
37836.0,37910.0,35750.0,37538.0,769600,2021-01-04
37389.0,44010.0,37165.0,43627.0,548900,2021-01-11
42170.0,43397.0,37723.0,42016.0,857800,2021-01-18
41786.0,42016.0,35883.0,38259.0,465700,2021-01-25
38259.0,39103.0,33429.0,39103.0,392400,2021-02-01
38336.0,39563.0,36381.0,38029.0,134500,2021-02-08
38336.0,39103.0,37569.0,38183.0,300300,2021-02-17
38336.0,38336.0,35269.0,36189.0,404400,2021-02-22
35959.0,39640.0,34618.0,37761.0,647400,2021-03-01
37263.0,44087.0,37186.0,42170.0,1348400,2021-03-08
42246.0,42246.0,39026.0,40023.0,1012500,2021-03-15
40023.0,40023.0,33851.0,36113.0,1001600,2021-03-22
36113.0,37569.0,33966.0,37569.0,603800,2021-03-29
37416.0,37416.0,34273.0,36036.0,725100,2021-04-05
35998.0,35998.0,34273.0,35653.0,617300,2021-04-12
34924.0,36036.0,33812.0,35729.0,542500,2021-04-19
35499.0,35499.0,31436.0,32202.0,450000,2021-04-26
32049.0,32202.0,30669.0,31474.0,296200,2021-05-04
31052.0,32432.0,30056.0,32356.0,519400,2021-05-10
32356.0,32356.0,30746.0,32164.0,432500,2021-05-17
31896.0,33122.0,30822.0,31666.0,510300,2021-05-24
31512.0,32969.0,30746.0,31819.0,374800,2021-05-31
32471.0,34809.0,31666.0,32892.0,885000,2021-06-07
33659.0,35576.0,32202.0,35384.0,804500,2021-06-14
35423.0,35423.0,33736.0,34426.0,515400,2021-06-21
34426.0,34963.0,33621.0,34349.0,471600,2021-06-28
34349.0,34349.0,31742.0,31742.0,269500,2021-07-05
31742.0,31742.0,28024.0,29902.0,355600,2021-07-12
29787.0,29787.0,27985.0,28714.0,150600,2021-07-19
28139.0,29059.0,28139.0,28484.0,163400,2021-07-26
28675.0,29979.0,27909.0,29634.0,369600,2021-08-02
28752.0,31282.0,28752.0,31206.0,747400,2021-08-09
31321.0,34886.0,31321.0,33621.0,1709800,2021-08-16
33582.0,33582.0,30669.0,32126.0,939200,2021-08-23
32394.0,35883.0,32126.0,35883.0,1428200,2021-08-30
36803.0,37416.0,35116.0,36189.0,1679000,2021-09-06
36419.0,36419.0,32739.0,34809.0,1278500,2021-09-13
34924.0,34963.0,31436.0,32586.0,1021000,2021-09-20
31934.0,32547.0,29519.0,30516.0,588000,2021-09-27
29941.0,33582.0,29941.0,33046.0,706900,2021-10-04
33046.0,33276.0,32279.0,32701.0,642000,2021-10-11
32892.0,36419.0,32126.0,35959.0,1372100,2021-10-18
35959.0,38643.0,34043.0,38259.0,1710900,2021-10-25
38950.0,41403.0,36036.0,37569.0,1834300,2021-11-01
37569.0,40176.0,34963.0,40023.0,1267600,2021-11-08
40253.0,42170.0,36381.0,37186.0,1223800,2021-11-15
35806.0,38336.0,33812.0,37684.0,665900,2021-11-22
36803.0,38566.0,36036.0,37493.0,674300,2021-11-29
37416.0,37416.0,34694.0,36343.0,407400,2021-12-06
36074.0,40253.0,36036.0,40253.0,912700,2021-12-13
42323.0,42323.0,37569.0,38068.0,1381600,2021-12-20
37953.0,38298.0,36419.0,36803.0,520400,2021-12-27
36803.0,39486.0,36803.0,38490.0,768600,2022-01-04
38413.0,46847.0,38336.0,46233.0,2955400,2022-01-10
47920.0,50604.0,43780.0,48994.0,2048400,2022-01-17
48764.0,51217.0,40790.0,40790.0,2059500,2022-01-24
