open,high,low,close,volume,tradingDate
5448.0,5519.0,5394.0,5448.0,44960,2015-07-14
5385.0,5610.0,5421.0,5511.0,38500,2015-07-15
5448.0,5525.0,5462.0,5511.0,14640,2015-07-16
5511.0,5718.0,5591.0,5636.0,42000,2015-07-17
5448.0,5668.0,5479.0,5573.0,29100,2015-07-20
5511.0,5725.0,5476.0,5636.0,76240,2015-07-21
6012.0,6050.0,5671.0,5699.0,11700,2015-07-22
5699.0,5746.0,5556.0,5636.0,29500,2015-07-23
5573.0,5662.0,5535.0,5573.0,37300,2015-07-24
5511.0,5513.0,5450.0,5511.0,35500,2015-07-27
5511.0,5533.0,5470.0,5511.0,20580,2015-07-28
5511.0,5591.0,5467.0,5511.0,43900,2015-07-29
5573.0,5662.0,5536.0,5573.0,12600,2015-07-30
5573.0,5594.0,5531.0,5573.0,33100,2015-07-31
5511.0,5491.0,5429.0,5448.0,43300,2015-08-03
5448.0,5509.0,5446.0,5448.0,15720,2015-08-04
5385.0,5560.0,5434.0,5448.0,56660,2015-08-05
5448.0,5802.0,5428.0,5573.0,108920,2015-08-06
5636.0,5739.0,5614.0,5636.0,34600,2015-08-07
5699.0,6047.0,5792.0,5949.0,125100,2015-08-10
6012.0,5932.0,5685.0,5761.0,74020,2015-08-11
5699.0,5570.0,5386.0,5511.0,45000,2015-08-12
5511.0,5640.0,5514.0,5573.0,46500,2015-08-13
5573.0,5570.0,5507.0,5511.0,23720,2015-08-14
5636.0,5618.0,5431.0,5511.0,18500,2015-08-17
5636.0,5806.0,5614.0,5699.0,20200,2015-08-18
5699.0,5691.0,5566.0,5636.0,19400,2015-08-19
5636.0,5613.0,5551.0,5573.0,25200,2015-08-20
5511.0,5751.0,5493.0,5573.0,59500,2015-08-21
5511.0,5381.0,5015.0,5135.0,76800,2015-08-24
5135.0,5355.0,5166.0,5260.0,17100,2015-08-25
5135.0,5467.0,5213.0,5385.0,16280,2015-08-26
5385.0,5510.0,5447.0,5448.0,23000,2015-08-27
5448.0,5506.0,5381.0,5448.0,22800,2015-08-28
5448.0,5482.0,5357.0,5385.0,22520,2015-08-31
5448.0,5454.0,5330.0,5385.0,23200,2015-09-01
5385.0,5385.0,5385.0,5385.0,12360,2015-09-03
5385.0,5435.0,5373.0,5385.0,36200,2015-09-04
5385.0,5384.0,5260.0,5323.0,5200,2015-09-07
5323.0,5323.0,5323.0,5323.0,22600,2015-09-08
5385.0,5539.0,5412.0,5448.0,15600,2015-09-09
5385.0,5462.0,5399.0,5448.0,4910,2015-09-10
5448.0,5510.0,5447.0,5448.0,17500,2015-09-11
5448.0,5417.0,5354.0,5385.0,15300,2015-09-14
5323.0,5399.0,5337.0,5385.0,14200,2015-09-15
5385.0,5323.0,5261.0,5323.0,6600,2015-09-16
5385.0,5504.0,5441.0,5448.0,8900,2015-09-17
