open,high,low,close,volume,tradingDate
10645.0,10676.0,9425.0,9425.0,2711320,2010-03-16
9394.0,9608.0,8602.0,9456.0,4834930,2010-03-22
8998.0,9425.0,8541.0,8846.0,3530290,2010-03-29
9273.0,10035.0,9273.0,9486.0,7352120,2010-04-05
9486.0,9730.0,9090.0,9608.0,4443480,2010-04-12
9425.0,9730.0,9334.0,9334.0,2945890,2010-04-19
9029.0,9395.0,8815.0,8876.0,2582020,2010-04-26
8998.0,9273.0,8693.0,8998.0,3842810,2010-05-04
8876.0,8907.0,7931.0,8175.0,2703400,2010-05-10
8174.0,8175.0,6966.0,6966.0,2735610,2010-05-17
6624.0,7277.0,6313.0,7277.0,3828340,2010-05-24
7433.0,7619.0,7028.0,7028.0,3111350,2010-05-31
6780.0,6873.0,6531.0,6717.0,1468700,2010-06-07
6655.0,6997.0,6593.0,6686.0,2175720,2010-06-14
6686.0,6997.0,6593.0,6593.0,3160750,2010-06-21
6531.0,6749.0,6344.0,6375.0,1501880,2010-06-28
6375.0,6717.0,6313.0,6531.0,2404990,2010-07-05
6531.0,6749.0,6438.0,6531.0,1568010,2010-07-12
6531.0,6562.0,6220.0,6251.0,1594950,2010-07-19
6375.0,6406.0,5816.0,5878.0,1272210,2010-07-26
5847.0,5940.0,5287.0,5411.0,1903630,2010-08-02
5474.0,5505.0,4758.0,5007.0,2092730,2010-08-09
5100.0,5256.0,4727.0,4883.0,1835300,2010-08-16
4883.0,4883.0,4167.0,4230.0,1452640,2010-08-23
4416.0,4852.0,4416.0,4852.0,751900,2010-08-30
5069.0,5822.0,5069.0,5429.0,4683910,2010-09-06
5200.0,5429.0,5004.0,5364.0,2838820,2010-09-13
5527.0,5560.0,5004.0,5200.0,2137930,2010-09-20
5233.0,5266.0,4906.0,4938.0,1673830,2010-09-27
4906.0,5004.0,4546.0,4775.0,1997260,2010-10-04
4840.0,4840.0,4579.0,4579.0,1004310,2010-10-11
4579.0,4710.0,4219.0,4252.0,1283580,2010-10-18
4252.0,4481.0,4186.0,4317.0,1513730,2010-10-25
4350.0,4448.0,4219.0,4415.0,1311940,2010-11-01
4415.0,4448.0,3728.0,3761.0,1976520,2010-11-08
3761.0,3892.0,3565.0,3761.0,1596760,2010-11-15
3630.0,4088.0,3598.0,3957.0,1636820,2010-11-22
3859.0,4448.0,3827.0,4448.0,3406720,2010-11-29
4644.0,4873.0,4252.0,4742.0,5325000,2010-12-06
4971.0,5037.0,4350.0,4579.0,4818110,2010-12-13
4677.0,4710.0,4252.0,4252.0,1869170,2010-12-20
4317.0,4415.0,4121.0,4121.0,1621610,2010-12-27
4154.0,4252.0,4055.0,4088.0,819540,2011-01-04
4088.0,4088.0,3827.0,3957.0,1507060,2011-01-10
4023.0,4252.0,3859.0,4023.0,1493610,2011-01-17
4023.0,4088.0,3827.0,3990.0,1086300,2011-01-24
3990.0,4023.0,3859.0,3925.0,666040,2011-02-08
3925.0,3957.0,3598.0,3598.0,1559500,2011-02-14
3499.0,3499.0,3172.0,3303.0,2006350,2011-02-21
