open,high,low,close,volume,tradingDate
5111.0,5362.0,4522.0,4599.0,30200,2007-11-22
4211.0,4211.0,3443.0,3527.0,191200,2007-11-26
3671.0,4924.0,3679.0,4463.0,890000,2007-12-03
4535.0,4519.0,3865.0,4103.0,243000,2007-12-10
4103.0,4254.0,3758.0,3988.0,163200,2007-12-17
4031.0,4052.0,3852.0,3959.0,97200,2007-12-24
3980.0,4223.0,3642.0,3671.0,46300,2008-01-02
3563.0,3563.0,2966.0,3023.0,232700,2008-01-07
2922.0,3175.0,2541.0,2987.0,270000,2008-01-14
2915.0,3125.0,2622.0,2786.0,162000,2008-01-21
2807.0,3290.0,2671.0,3225.0,219300,2008-01-28
3023.0,3154.0,2828.0,2872.0,93800,2008-02-12
2699.0,2807.0,2163.0,2275.0,155200,2008-02-18
2087.0,2455.0,2025.0,2087.0,123900,2008-02-25
2095.0,2108.0,1605.0,1951.0,128800,2008-03-03
2145.0,2364.0,1924.0,2174.0,257600,2008-03-10
2159.0,2159.0,1563.0,1627.0,121800,2008-03-17
1497.0,1591.0,1217.0,1454.0,90100,2008-03-24
1483.0,1598.0,1483.0,1598.0,3900,2008-03-31
1641.0,1662.0,1497.0,1497.0,108100,2008-04-07
1454.0,1534.0,1397.0,1411.0,93500,2008-04-16
1404.0,1404.0,1252.0,1260.0,49600,2008-04-21
1252.0,1281.0,1210.0,1231.0,14000,2008-04-28
1245.0,1231.0,1108.0,1108.0,9000,2008-05-05
1080.0,1080.0,986.0,993.0,25900,2008-05-12
950.0,950.0,857.0,857.0,20800,2008-05-19
835.0,835.0,763.0,777.0,108600,2008-05-26
785.0,785.0,691.0,691.0,25100,2008-06-02
677.0,727.0,669.0,727.0,128500,2008-06-09
749.0,770.0,708.0,734.0,78600,2008-06-16
705.0,835.0,719.0,813.0,140700,2008-06-23
799.0,907.0,806.0,907.0,197000,2008-06-30
943.0,1008.0,837.0,1008.0,343200,2008-07-07
1044.0,1158.0,1037.0,1101.0,300300,2008-07-14
1065.0,1065.0,957.0,957.0,1900,2008-07-21
921.0,993.0,878.0,993.0,334000,2008-07-28
1029.0,994.0,886.0,929.0,206300,2008-08-04
950.0,1051.0,928.0,1051.0,239100,2008-08-11
1123.0,1180.0,986.0,1065.0,285100,2008-08-18
1101.0,1310.0,1108.0,1216.0,400700,2008-08-25
1238.0,1411.0,1238.0,1396.0,300800,2008-09-03
1476.0,1521.0,1245.0,1245.0,313100,2008-09-08
1159.0,1356.0,905.0,1022.0,185600,2008-09-15
1072.0,1209.0,1007.0,1202.0,216600,2008-09-22
1260.0,1236.0,1008.0,1108.0,107600,2008-09-29
1080.0,1080.0,927.0,979.0,136200,2008-10-06
1037.0,1167.0,1014.0,1101.0,254300,2008-10-13
1152.0,1254.0,1044.0,1159.0,454800,2008-10-20
1123.0,1145.0,1029.0,1065.0,315900,2008-10-27
1080.0,1231.0,980.0,1144.0,524600,2008-11-03
1180.0,1239.0,1080.0,1144.0,241900,2008-11-10
1080.0,1123.0,993.0,1029.0,138000,2008-11-17
1044.0,1044.0,915.0,965.0,141600,2008-11-24
936.0,993.0,878.0,907.0,65400,2008-12-01
864.0,893.0,737.0,885.0,55900,2008-12-08
936.0,950.0,850.0,929.0,80400,2008-12-15
957.0,943.0,885.0,921.0,15300,2008-12-22
914.0,892.0,828.0,849.0,29300,2008-12-29
842.0,915.0,849.0,878.0,14900,2009-01-02
864.0,915.0,842.0,864.0,45700,2009-01-05
849.0,893.0,842.0,849.0,45900,2009-01-12
849.0,871.0,800.0,821.0,37800,2009-01-19
864.0,886.0,828.0,871.0,80600,2009-02-02
857.0,906.0,842.0,871.0,75300,2009-02-09
857.0,878.0,842.0,857.0,85200,2009-02-16
864.0,943.0,856.0,878.0,125700,2009-02-23
878.0,893.0,763.0,770.0,95300,2009-03-02
749.0,813.0,734.0,770.0,107800,2009-03-09
777.0,835.0,756.0,770.0,128500,2009-03-16
756.0,806.0,727.0,741.0,100700,2009-03-23
741.0,842.0,734.0,835.0,120900,2009-03-30
835.0,914.0,778.0,914.0,261800,2009-04-07
950.0,1008.0,864.0,864.0,241000,2009-04-13
828.0,893.0,799.0,842.0,114800,2009-04-20
821.0,857.0,777.0,842.0,82400,2009-04-27
