open,high,low,close,volume,tradingDate
6282.0,7853.0,6282.0,7155.0,64350,2010-09-23
7155.0,7562.0,6936.0,7128.0,120950,2010-09-27
7128.0,7128.0,6358.0,6358.0,25120,2010-10-04
6310.0,6550.0,6069.0,6213.0,39480,2010-10-11
6261.0,6261.0,5250.0,5250.0,55170,2010-10-18
5443.0,5539.0,5298.0,5539.0,32210,2010-10-25
5539.0,5539.0,5057.0,5250.0,55320,2010-11-01
5202.0,5202.0,4816.0,4816.0,17410,2010-11-08
4816.0,4816.0,4720.0,4768.0,10950,2010-11-15
4720.0,4913.0,4576.0,4720.0,15140,2010-11-22
4720.0,5057.0,4720.0,4961.0,52950,2010-11-29
5154.0,5202.0,4865.0,4913.0,20200,2010-12-06
5057.0,5154.0,4720.0,4961.0,49080,2010-12-13
5202.0,5443.0,4961.0,5105.0,61560,2010-12-20
5298.0,5298.0,4865.0,5009.0,13590,2010-12-27
5009.0,5202.0,4865.0,4913.0,11410,2011-01-04
4816.0,4816.0,4624.0,4720.0,27570,2011-01-10
4768.0,4816.0,4576.0,4816.0,23280,2011-01-17
4816.0,4816.0,4576.0,4816.0,9770,2011-01-24
4816.0,4816.0,4672.0,4672.0,8660,2011-02-08
4768.0,4816.0,4624.0,4816.0,15430,2011-02-14
4720.0,4720.0,4383.0,4527.0,15150,2011-02-21
4624.0,4624.0,4094.0,4335.0,35940,2011-02-28
4335.0,4576.0,4335.0,4576.0,25390,2011-03-07
4383.0,4576.0,4094.0,4431.0,178160,2011-03-14
4431.0,4431.0,4094.0,4238.0,338630,2011-03-21
4238.0,4335.0,4094.0,4142.0,52410,2011-03-28
4142.0,4190.0,3949.0,4094.0,32720,2011-04-04
4094.0,4094.0,3901.0,3901.0,14070,2011-04-13
3998.0,4046.0,3901.0,4046.0,25620,2011-04-18
4046.0,4142.0,3853.0,3998.0,18050,2011-04-25
4190.0,4190.0,3853.0,3901.0,67710,2011-05-04
4046.0,4094.0,3998.0,3998.0,7070,2011-05-09
3998.0,4094.0,3901.0,4094.0,40920,2011-05-16
3901.0,3949.0,3516.0,3757.0,71210,2011-05-23
3661.0,3757.0,3516.0,3757.0,24470,2011-05-30
3709.0,3901.0,3612.0,3805.0,22890,2011-06-06
3853.0,3998.0,3757.0,3853.0,30460,2011-06-13
3853.0,3853.0,3805.0,3805.0,16570,2011-06-20
3805.0,3901.0,3757.0,3853.0,26790,2011-06-27
3805.0,3949.0,3805.0,3853.0,4030,2011-07-04
3805.0,3853.0,3757.0,3805.0,20580,2011-07-11
3853.0,3853.0,3757.0,3757.0,12970,2011-07-18
3757.0,3757.0,3612.0,3612.0,11270,2011-07-25
3661.0,3661.0,3468.0,3516.0,20900,2011-08-01
3564.0,3661.0,3468.0,3661.0,28890,2011-08-08
3661.0,3949.0,3612.0,3757.0,80020,2011-08-15
3757.0,3901.0,3709.0,3853.0,65380,2011-08-22
3853.0,3853.0,3757.0,3805.0,11700,2011-08-29
3805.0,3853.0,3757.0,3853.0,99620,2011-09-05
3901.0,4335.0,3901.0,4190.0,96530,2011-09-12
4094.0,4094.0,3656.0,3877.0,56270,2011-09-19
3877.0,3877.0,3545.0,3600.0,21190,2011-09-26
3766.0,3932.0,3711.0,3822.0,1800,2011-10-03
3766.0,3822.0,3600.0,3711.0,7270,2011-10-10
3711.0,3877.0,3545.0,3600.0,24300,2011-10-17
3656.0,3766.0,3600.0,3766.0,17230,2011-10-24
3766.0,3766.0,3600.0,3600.0,1210,2011-10-31
3600.0,3656.0,3379.0,3379.0,33510,2011-11-07
