open,high,low,close,volume,tradingDate
3253.0,3330.0,3253.0,3291.0,64200,2016-03-09
3253.0,3291.0,3253.0,3291.0,74100,2016-03-10
3215.0,3253.0,3177.0,3215.0,75000,2016-03-11
3215.0,3291.0,3215.0,3215.0,52300,2016-03-14
3253.0,3291.0,3215.0,3291.0,56800,2016-03-15
3215.0,3291.0,3215.0,3291.0,52300,2016-03-16
3253.0,3330.0,3253.0,3330.0,45500,2016-03-17
3253.0,3291.0,3215.0,3291.0,43700,2016-03-18
3253.0,3330.0,3253.0,3291.0,47100,2016-03-21
3253.0,3291.0,3215.0,3291.0,46100,2016-03-22
3253.0,3291.0,3253.0,3291.0,46000,2016-03-23
3291.0,3330.0,3253.0,3291.0,47500,2016-03-24
3291.0,3330.0,3253.0,3330.0,60300,2016-03-25
3291.0,3368.0,3291.0,3330.0,62200,2016-03-28
3291.0,3368.0,3291.0,3368.0,65100,2016-03-29
3330.0,3406.0,3330.0,3368.0,66900,2016-03-30
3330.0,3368.0,3291.0,3330.0,68500,2016-03-31
3330.0,3368.0,3291.0,3368.0,67100,2016-04-01
3330.0,3406.0,3291.0,3368.0,65600,2016-04-04
3330.0,3330.0,3253.0,3291.0,62300,2016-04-05
2985.0,3444.0,2985.0,3291.0,68500,2016-04-06
3253.0,3368.0,3253.0,3291.0,66100,2016-04-07
3291.0,3330.0,3253.0,3330.0,65900,2016-04-08
3291.0,3330.0,3253.0,3330.0,68600,2016-04-11
3291.0,3368.0,3253.0,3330.0,61900,2016-04-12
3291.0,3368.0,3253.0,3330.0,61400,2016-04-13
3291.0,3330.0,3253.0,3291.0,63100,2016-04-14
3291.0,3368.0,3253.0,3330.0,62900,2016-04-15
3253.0,3368.0,3253.0,3330.0,62700,2016-04-19
3291.0,3368.0,3291.0,3330.0,65100,2016-04-20
3291.0,3368.0,3291.0,3330.0,63600,2016-04-21
3291.0,3368.0,3291.0,3330.0,64700,2016-04-22
3330.0,3368.0,3291.0,3368.0,64400,2016-04-25
3291.0,3330.0,3253.0,3330.0,61600,2016-04-26
3291.0,3330.0,3253.0,3291.0,62500,2016-04-27
3291.0,3368.0,3291.0,3330.0,60600,2016-04-28
3291.0,3330.0,3253.0,3330.0,62700,2016-04-29
3291.0,3330.0,3253.0,3291.0,61700,2016-05-04
3291.0,3330.0,3253.0,3291.0,61400,2016-05-05
3291.0,3368.0,3291.0,3291.0,65800,2016-05-06
3330.0,3368.0,3291.0,3291.0,63800,2016-05-09
3368.0,3368.0,3291.0,3368.0,65500,2016-05-10
3330.0,3330.0,3215.0,3253.0,67400,2016-05-11
3253.0,3291.0,3177.0,3215.0,64700,2016-05-12
3253.0,3253.0,3177.0,3177.0,63800,2016-05-13
3177.0,3215.0,3138.0,3138.0,66400,2016-05-16
3138.0,3215.0,3100.0,3100.0,61100,2016-05-17
3177.0,3177.0,3062.0,3100.0,66200,2016-05-18
3138.0,3138.0,3062.0,3062.0,63500,2016-05-19
3062.0,3100.0,3062.0,3062.0,65400,2016-05-20
3062.0,3062.0,2985.0,3023.0,51200,2016-05-23
3023.0,3100.0,2947.0,2985.0,50600,2016-05-24
2985.0,2985.0,2909.0,2947.0,51800,2016-05-25
2947.0,2947.0,2870.0,2909.0,50800,2016-05-26
