open,high,low,close,volume,tradingDate
11398.0,12157.0,11398.0,11800.0,2000,2016-01-18
11398.0,11398.0,10258.0,11100.0,5700,2016-01-19
10258.0,10258.0,10258.0,10300.0,0,2016-01-20
10258.0,10258.0,10258.0,10300.0,0,2016-01-21
10258.0,10258.0,10258.0,10300.0,0,2016-01-22
10448.0,10448.0,10448.0,10400.0,100,2016-01-25
8928.0,8928.0,8928.0,8900.0,100,2016-01-26
8928.0,8928.0,8928.0,8900.0,10,2016-01-27
8928.0,8928.0,8928.0,8900.0,0,2016-01-28
8928.0,8928.0,8928.0,8900.0,0,2016-01-29
8928.0,8928.0,8928.0,8900.0,0,2016-02-01
8928.0,8928.0,8928.0,8900.0,0,2016-02-02
7598.0,9023.0,7598.0,8300.0,200,2016-02-03
9023.0,9023.0,9023.0,9000.0,0,2016-02-04
9403.0,9498.0,9403.0,9400.0,500,2016-02-05
9498.0,9498.0,9498.0,9500.0,0,2016-02-15
8548.0,8548.0,8263.0,8500.0,700,2016-02-16
8073.0,8073.0,8073.0,8100.0,300,2016-02-17
8073.0,8073.0,8073.0,8100.0,0,2016-02-18
8073.0,8073.0,8073.0,8100.0,0,2016-02-19
7124.0,7124.0,6934.0,7000.0,300,2016-02-22
6649.0,6649.0,6269.0,6500.0,900,2016-02-23
5699.0,5699.0,5699.0,5700.0,300,2016-02-24
5129.0,5129.0,5129.0,5100.0,100,2016-02-25
5889.0,5889.0,5889.0,5900.0,500,2016-02-26
5699.0,5699.0,5699.0,5700.0,500,2016-02-29
6554.0,6554.0,6554.0,6600.0,200,2016-03-01
7313.0,7313.0,7313.0,7300.0,100,2016-03-02
7313.0,7313.0,7313.0,7300.0,0,2016-03-03
6364.0,6364.0,6364.0,6400.0,300,2016-03-04
6364.0,6364.0,5604.0,6000.0,200,2016-03-07
6744.0,6744.0,6744.0,6700.0,100,2016-03-08
5889.0,5889.0,5889.0,5900.0,100,2016-03-09
5889.0,5889.0,5889.0,5900.0,0,2016-03-10
6649.0,6649.0,5509.0,6100.0,200,2016-03-11
6459.0,6459.0,6459.0,6500.0,1300,2016-03-14
5794.0,5794.0,5794.0,5800.0,200,2016-03-15
5414.0,5414.0,5414.0,5400.0,100,2016-03-16
5319.0,5319.0,5319.0,5300.0,100,2016-03-17
5319.0,5319.0,5319.0,5300.0,40,2016-03-18
5319.0,5319.0,5319.0,5300.0,0,2016-03-21
6079.0,6079.0,6079.0,6100.0,100,2016-03-22
6934.0,6934.0,6079.0,6600.0,1500,2016-03-23
7503.0,7503.0,7503.0,7500.0,3800,2016-03-24
7598.0,8073.0,7598.0,7600.0,3500,2016-03-25
7598.0,8738.0,7598.0,8400.0,36300,2016-03-28
9688.0,9688.0,9498.0,9700.0,101600,2016-03-29
10448.0,10448.0,9403.0,9600.0,15523,2016-03-30
8263.0,9498.0,8263.0,8600.0,800,2016-03-31
8168.0,9308.0,7313.0,7900.0,39437,2016-04-01
7029.0,7029.0,6744.0,6800.0,6000,2016-04-04
7693.0,7693.0,7598.0,7700.0,1800,2016-04-05
8833.0,8833.0,8548.0,8800.0,600,2016-04-06
8738.0,8833.0,7598.0,7800.0,9500,2016-04-07
7978.0,7978.0,7978.0,8000.0,100,2016-04-08
8833.0,9118.0,8738.0,8900.0,18700,2016-04-11
9118.0,9118.0,8928.0,9000.0,4100,2016-04-12
8833.0,8833.0,8073.0,8500.0,8900,2016-04-13
8548.0,8548.0,8548.0,8500.0,100,2016-04-14
8643.0,9118.0,8643.0,8900.0,5000,2016-04-15
8548.0,8548.0,8358.0,8500.0,1401,2016-04-19
8358.0,9023.0,8358.0,8800.0,35800,2016-04-20
8548.0,8548.0,8168.0,8500.0,600,2016-04-21
9308.0,9308.0,7788.0,8900.0,1700,2016-04-22
9118.0,9118.0,8073.0,9000.0,1100,2016-04-25
7883.0,8928.0,7788.0,8200.0,12700,2016-04-26
8263.0,8263.0,8263.0,8300.0,200,2016-04-27
8263.0,8263.0,8263.0,8300.0,0,2016-04-28
7218.0,8833.0,7124.0,7600.0,9200,2016-04-29
7647.0,7647.0,7647.0,7600.0,0,2016-05-04
7693.0,7693.0,7693.0,7700.0,1600,2016-05-05
7218.0,7218.0,6554.0,6900.0,6800,2016-05-06
7598.0,7598.0,6079.0,6200.0,12200,2016-05-09
6934.0,6934.0,6174.0,6700.0,300,2016-05-10
7408.0,7408.0,7408.0,7400.0,100,2016-05-11
6459.0,6459.0,6459.0,6500.0,1100,2016-05-12
6744.0,7313.0,6174.0,7100.0,1400,2016-05-13
7503.0,7503.0,7503.0,7500.0,100,2016-05-16
7788.0,7788.0,7788.0,7800.0,100,2016-05-17
7788.0,7883.0,7788.0,7900.0,500,2016-05-18
9023.0,9023.0,7218.0,8100.0,200,2016-05-19
8121.0,8121.0,8121.0,8100.0,0,2016-05-20
8121.0,8121.0,8121.0,8100.0,0,2016-05-23
8121.0,8121.0,8121.0,8100.0,0,2016-05-24
8833.0,8833.0,8073.0,8500.0,200,2016-05-25
8073.0,8073.0,7218.0,7300.0,6800,2016-05-26
6364.0,7503.0,6364.0,7400.0,2100,2016-05-27
7354.0,7354.0,7354.0,7400.0,0,2016-05-30
7354.0,7354.0,7354.0,7400.0,0,2016-05-31
6364.0,7503.0,6364.0,7300.0,1100,2016-06-01
8073.0,8073.0,6649.0,7400.0,1600,2016-06-02
8453.0,8453.0,6554.0,7500.0,200,2016-06-03
8453.0,8453.0,6459.0,6500.0,22600,2016-06-06
6934.0,6934.0,6079.0,6500.0,200,2016-06-07
7313.0,7313.0,6459.0,6900.0,200,2016-06-08
6886.0,6886.0,6886.0,6900.0,0,2016-06-09
6554.0,6554.0,6174.0,6400.0,1700,2016-06-10
6397.0,6397.0,6397.0,6400.0,0,2016-06-13
6649.0,6649.0,6649.0,6600.0,100,2016-06-14
5699.0,7124.0,5699.0,6200.0,1000,2016-06-15
6649.0,6649.0,6649.0,6600.0,1000,2016-06-16
6839.0,6839.0,6554.0,6600.0,3900,2016-06-17
7029.0,7029.0,5699.0,5800.0,1100,2016-06-20
6649.0,6649.0,6649.0,6600.0,100,2016-06-21
7598.0,7598.0,5699.0,6600.0,200,2016-06-22
6649.0,6649.0,6649.0,6600.0,800,2016-06-23
5889.0,5889.0,5699.0,5800.0,1200,2016-06-24
5129.0,6269.0,5129.0,5800.0,1100,2016-06-27
6079.0,6649.0,6079.0,6400.0,1900,2016-06-28
6364.0,7029.0,5414.0,5600.0,23500,2016-06-29
6364.0,6364.0,6364.0,6400.0,2200,2016-06-30
7029.0,7029.0,7029.0,7000.0,200,2016-07-01
7883.0,7978.0,7883.0,7900.0,1000,2016-07-04
6744.0,6744.0,6744.0,6700.0,100,2016-07-05
6744.0,6744.0,6744.0,6700.0,0,2016-07-06
