open,high,low,close,volume,tradingDate
11398.0,12157.0,10258.0,10300.0,7700,2016-01-18
10448.0,10448.0,8928.0,8900.0,210,2016-01-25
8928.0,9498.0,7598.0,9400.0,700,2016-02-01
9498.0,9498.0,8073.0,8100.0,1000,2016-02-15
7124.0,7124.0,5129.0,5900.0,2100,2016-02-22
5699.0,7313.0,5699.0,6400.0,1100,2016-02-29
6364.0,6744.0,5509.0,6100.0,600,2016-03-07
6459.0,6459.0,5319.0,5300.0,1740,2016-03-14
5319.0,8073.0,5319.0,7600.0,8900,2016-03-21
7598.0,10448.0,7313.0,7900.0,193660,2016-03-28
7029.0,8833.0,6744.0,8000.0,18000,2016-04-04
8833.0,9118.0,8073.0,8900.0,36800,2016-04-11
8548.0,9308.0,7788.0,8900.0,39501,2016-04-19
9118.0,9118.0,7124.0,7600.0,23200,2016-04-25
7647.0,7693.0,6554.0,6900.0,8400,2016-05-04
7598.0,7598.0,6079.0,7100.0,15100,2016-05-09
7503.0,9023.0,7218.0,8100.0,900,2016-05-16
8121.0,8833.0,6364.0,7400.0,9100,2016-05-23
7354.0,8453.0,6364.0,7500.0,2900,2016-05-30
8453.0,8453.0,6079.0,6400.0,24700,2016-06-06
6397.0,7124.0,5699.0,6600.0,6000,2016-06-13
7029.0,7598.0,5699.0,5800.0,3400,2016-06-20
5129.0,7029.0,5129.0,7000.0,28900,2016-06-27
7883.0,7978.0,5604.0,5700.0,31600,2016-07-04
6554.0,6839.0,6174.0,6400.0,9100,2016-07-11
6744.0,6839.0,6174.0,6700.0,21700,2016-07-18
6744.0,6744.0,5794.0,6600.0,2100,2016-07-25
5889.0,6649.0,5604.0,5700.0,4000,2016-08-01
6269.0,6269.0,5224.0,5600.0,16710,2016-08-08
5641.0,6079.0,5604.0,6100.0,11900,2016-08-15
6079.0,6839.0,5414.0,6800.0,13500,2016-08-22
6079.0,7408.0,5699.0,6500.0,41500,2016-08-29
6744.0,6744.0,5319.0,5600.0,8100,2016-09-05
5604.0,6079.0,4749.0,4800.0,50700,2016-09-12
4939.0,5224.0,4369.0,4900.0,31301,2016-09-19
5034.0,5889.0,4369.0,5300.0,46700,2016-09-26
5034.0,5129.0,4369.0,4700.0,30600,2016-10-03
4749.0,5509.0,3989.0,5500.0,36000,2016-10-10
5509.0,5509.0,5509.0,5500.0,3000,2016-10-17
5509.0,5509.0,4749.0,4800.0,3800,2016-10-24
4844.0,5509.0,4844.0,5500.0,11100,2016-10-31
5509.0,6934.0,5224.0,6800.0,39000,2016-11-07
6079.0,6364.0,5414.0,5400.0,24300,2016-11-14
5414.0,5699.0,5414.0,5700.0,14000,2016-11-21
5699.0,5889.0,4844.0,4900.0,7400,2016-11-28
5604.0,6649.0,5604.0,6200.0,25200,2016-12-05
6174.0,7029.0,5699.0,6800.0,27900,2016-12-12
6649.0,7693.0,6554.0,7100.0,43800,2016-12-19
7218.0,7788.0,6934.0,6900.0,57300,2016-12-26
7124.0,7598.0,7124.0,7600.0,16300,2017-01-03
7598.0,7598.0,6554.0,6600.0,10000,2017-01-09
6459.0,7408.0,6364.0,6600.0,1500,2017-01-16
6554.0,6554.0,6554.0,6600.0,500,2017-01-23
