open,high,low,close,volume,tradingDate
9753.0,9753.0,9753.0,9753.0,10,2015-07-14
9699.0,9699.0,9646.0,9646.0,30,2015-07-15
9807.0,9807.0,9539.0,9646.0,2120,2015-07-16
9807.0,9807.0,9432.0,9646.0,2530,2015-07-17
9646.0,9646.0,9432.0,9646.0,320,2015-07-20
9807.0,9807.0,9807.0,9807.0,20,2015-07-21
9646.0,9646.0,9646.0,9646.0,1110,2015-07-22
9378.0,9646.0,9378.0,9646.0,1010,2015-07-23
9646.0,9646.0,9646.0,9646.0,1890,2015-07-24
9485.0,9646.0,9485.0,9646.0,1000,2015-07-27
9378.0,9378.0,9378.0,9378.0,900,2015-07-28
9646.0,9646.0,9378.0,9646.0,540,2015-07-29
9646.0,10182.0,9539.0,9646.0,2870,2015-07-30
9539.0,9753.0,9539.0,9646.0,1060,2015-07-31
9646.0,10128.0,9592.0,9914.0,750,2015-08-03
9485.0,9807.0,9485.0,9807.0,140,2015-08-04
9646.0,9914.0,9378.0,9914.0,3250,2015-08-05
9914.0,9914.0,9914.0,9914.0,0,2015-08-06
9592.0,9753.0,9432.0,9753.0,2210,2015-08-07
9432.0,9753.0,9432.0,9753.0,160,2015-08-10
9753.0,9753.0,9753.0,9753.0,0,2015-08-11
9753.0,9753.0,9753.0,9753.0,0,2015-08-12
10128.0,10128.0,9378.0,9860.0,3750,2015-08-13
9860.0,9860.0,9860.0,9860.0,0,2015-08-14
9753.0,9860.0,9753.0,9860.0,1010,2015-08-17
9699.0,9860.0,9485.0,9860.0,8450,2015-08-18
9860.0,9860.0,9860.0,9860.0,0,2015-08-19
9860.0,9860.0,9646.0,9860.0,180,2015-08-20
9807.0,9860.0,9807.0,9807.0,1650,2015-08-21
9164.0,9699.0,9164.0,9699.0,7060,2015-08-24
9378.0,9699.0,9378.0,9699.0,110,2015-08-25
9753.0,10075.0,9110.0,9807.0,10180,2015-08-26
9592.0,9646.0,9164.0,9592.0,74850,2015-08-27
9592.0,9592.0,9592.0,9592.0,0,2015-08-28
9056.0,9753.0,9056.0,9753.0,80,2015-08-31
9378.0,9646.0,9271.0,9646.0,15450,2015-09-01
9539.0,9860.0,9539.0,9860.0,230,2015-09-03
9378.0,9860.0,9378.0,9860.0,1020,2015-09-04
9378.0,9646.0,9378.0,9646.0,510,2015-09-07
9646.0,9646.0,9646.0,9646.0,0,2015-09-08
9914.0,9914.0,9324.0,9378.0,6010,2015-09-09
9378.0,9646.0,9378.0,9592.0,2070,2015-09-10
9646.0,9646.0,9646.0,9646.0,500,2015-09-11
9324.0,9699.0,9324.0,9699.0,2020,2015-09-14
9217.0,9217.0,9217.0,9217.0,1870,2015-09-15
9164.0,9699.0,9164.0,9592.0,630,2015-09-16
9324.0,9807.0,9324.0,9324.0,3600,2015-09-17
9592.0,9592.0,9324.0,9592.0,540,2015-09-18
9592.0,9646.0,9592.0,9646.0,80,2015-09-21
9164.0,9592.0,9164.0,9592.0,1330,2015-09-22
9592.0,9592.0,9592.0,9592.0,1000,2015-09-23
9592.0,9592.0,9592.0,9592.0,0,2015-09-24
9592.0,9914.0,9592.0,9914.0,230,2015-09-25
9485.0,9860.0,9324.0,9699.0,2190,2015-09-28
10128.0,10128.0,9271.0,9271.0,540,2015-09-29
9271.0,9753.0,9271.0,9646.0,4690,2015-09-30
9324.0,9539.0,9271.0,9539.0,2020,2015-10-01
9539.0,9539.0,9539.0,9539.0,0,2015-10-02
9271.0,9485.0,9271.0,9324.0,830,2015-10-05
9324.0,9592.0,9324.0,9592.0,1190,2015-10-06
9646.0,9646.0,9378.0,9432.0,21230,2015-10-07
9646.0,9646.0,9432.0,9592.0,10140,2015-10-08
9646.0,9699.0,9432.0,9646.0,830,2015-10-09
10182.0,10182.0,9592.0,9592.0,590,2015-10-12
9539.0,10021.0,9539.0,10021.0,4460,2015-10-13
10021.0,10021.0,10021.0,10021.0,310,2015-10-14
10021.0,10021.0,10021.0,10021.0,0,2015-10-15
9485.0,9967.0,9485.0,9967.0,70,2015-10-16
9539.0,9539.0,9539.0,9539.0,100,2015-10-19
9914.0,9914.0,9914.0,9914.0,30,2015-10-20
9914.0,9914.0,9914.0,9914.0,60,2015-10-21
9753.0,10557.0,9753.0,10182.0,7850,2015-10-22
10182.0,10450.0,9914.0,9914.0,2950,2015-10-23
10021.0,10450.0,10021.0,10396.0,130940,2015-10-26
10343.0,11093.0,10343.0,11093.0,92780,2015-10-27
11789.0,11789.0,11361.0,11521.0,63110,2015-10-28
11468.0,11521.0,11254.0,11307.0,109940,2015-10-29
11307.0,11789.0,11307.0,11629.0,146550,2015-10-30
12004.0,12004.0,11414.0,11414.0,34130,2015-11-02
11307.0,11629.0,11254.0,11468.0,67030,2015-11-03
11468.0,11468.0,11254.0,11254.0,38590,2015-11-04
11146.0,11468.0,10986.0,11200.0,21730,2015-11-05
11146.0,11146.0,10825.0,11039.0,37870,2015-11-06
11039.0,11146.0,10718.0,10771.0,65650,2015-11-09
11361.0,11361.0,10503.0,11200.0,37930,2015-11-10
11361.0,11361.0,10878.0,10878.0,7330,2015-11-11
10825.0,10986.0,10718.0,10932.0,28930,2015-11-12
10878.0,11093.0,10664.0,10932.0,56360,2015-11-13
10932.0,11629.0,10932.0,11629.0,64780,2015-11-16
11629.0,11629.0,11414.0,11468.0,46520,2015-11-17
11521.0,11521.0,11254.0,11414.0,29570,2015-11-18
11575.0,11575.0,11146.0,11200.0,29620,2015-11-19
11093.0,11521.0,10986.0,11254.0,49150,2015-11-20
11254.0,11254.0,10878.0,10932.0,16510,2015-11-23
10878.0,10878.0,10450.0,10450.0,78360,2015-11-24
10450.0,10878.0,10235.0,10771.0,54010,2015-11-25
10718.0,10932.0,10610.0,10664.0,10440,2015-11-26
10610.0,10664.0,10557.0,10557.0,31680,2015-11-27
10664.0,10664.0,10450.0,10610.0,9430,2015-11-30
10610.0,10718.0,10450.0,10664.0,11400,2015-12-01
10718.0,10878.0,10664.0,10771.0,12060,2015-12-02
10610.0,10878.0,10610.0,10878.0,12360,2015-12-03
10878.0,10878.0,10718.0,10771.0,25310,2015-12-04
10557.0,10825.0,10503.0,10664.0,5600,2015-12-07
10557.0,10878.0,10557.0,10878.0,3980,2015-12-08
10932.0,10932.0,10664.0,10664.0,20890,2015-12-09
10718.0,10825.0,10610.0,10610.0,22300,2015-12-10
10718.0,10878.0,10718.0,10825.0,18410,2015-12-11
10718.0,10932.0,10610.0,10878.0,16950,2015-12-14
10878.0,11039.0,10878.0,11039.0,12100,2015-12-15
11200.0,11200.0,10932.0,10932.0,10330,2015-12-16
10771.0,11254.0,10771.0,10932.0,4060,2015-12-17
10932.0,11200.0,10825.0,10986.0,6490,2015-12-18
10986.0,11146.0,10878.0,11146.0,1480,2015-12-21
11254.0,11254.0,10878.0,11200.0,5330,2015-12-22
10878.0,10986.0,10878.0,10986.0,5240,2015-12-23
10932.0,11093.0,10825.0,11093.0,27110,2015-12-24
11093.0,11200.0,10878.0,10878.0,8520,2015-12-25
11146.0,11146.0,10878.0,10878.0,12730,2015-12-28
10825.0,11093.0,10825.0,11093.0,1980,2015-12-29
10825.0,11093.0,10825.0,11039.0,36360,2015-12-30
11039.0,11093.0,11039.0,11093.0,4300,2015-12-31
10878.0,11093.0,10718.0,11093.0,10390,2016-01-04
10771.0,11093.0,10771.0,10878.0,320,2016-01-05
10825.0,11039.0,10825.0,10932.0,6130,2016-01-06
10878.0,10878.0,10718.0,10718.0,11180,2016-01-07
10718.0,11039.0,10718.0,10986.0,2840,2016-01-08
10771.0,11039.0,10771.0,11039.0,600,2016-01-11
11039.0,11093.0,11039.0,11039.0,4150,2016-01-12
11039.0,11039.0,10825.0,10878.0,8620,2016-01-13
10771.0,10771.0,10718.0,10718.0,13410,2016-01-14
