open,high,low,close,volume,tradingDate
6213.0,8073.0,6213.0,8073.0,52500,2009-06-08
8631.0,10336.0,8377.0,8668.0,474800,2009-06-15
8929.0,8929.0,6672.0,7292.0,196200,2009-06-22
7403.0,7329.0,6347.0,6883.0,53900,2009-06-29
6920.0,7714.0,6762.0,7403.0,73500,2009-07-06
6845.0,7403.0,6542.0,7403.0,53500,2009-07-13
7887.0,8404.0,7403.0,8222.0,208100,2009-07-20
8780.0,8780.0,7290.0,7813.0,96100,2009-07-27
7775.0,8071.0,7285.0,7478.0,50800,2009-08-03
7441.0,8369.0,7513.0,8185.0,120100,2009-08-10
8036.0,8892.0,7849.0,8780.0,154300,2009-08-17
8557.0,10491.0,8445.0,10491.0,208600,2009-08-24
11198.0,11598.0,10305.0,10454.0,410700,2009-08-31
10305.0,13319.0,9859.0,13319.0,1647400,2009-09-07
14249.0,16630.0,14174.0,16481.0,1609100,2009-09-14
17634.0,20090.0,17411.0,18602.0,1303100,2009-09-21
18974.0,19346.0,15253.0,15402.0,666200,2009-09-28
15402.0,17783.0,15402.0,17411.0,581700,2009-10-05
17858.0,19680.0,17299.0,17634.0,808100,2009-10-12
17672.0,20462.0,17337.0,19420.0,1042700,2009-10-19
18081.0,19160.0,17337.0,18527.0,585500,2009-10-26
17374.0,19197.0,16258.0,18304.0,548200,2009-11-02
17486.0,18044.0,16072.0,17411.0,363100,2009-11-09
17151.0,17486.0,16369.0,16741.0,279800,2009-11-16
16369.0,16741.0,12500.0,12612.0,399500,2009-11-23
12649.0,14509.0,12463.0,12686.0,302400,2009-11-30
12686.0,13430.0,10901.0,10975.0,178200,2009-12-07
11347.0,11719.0,9487.0,10268.0,256200,2009-12-14
10863.0,11570.0,10231.0,11235.0,348000,2009-12-21
12017.0,12723.0,11087.0,12723.0,467600,2009-12-28
13579.0,15997.0,13579.0,15030.0,522400,2010-01-04
14212.0,15067.0,12537.0,13356.0,510700,2010-01-11
12835.0,13654.0,12426.0,13282.0,600900,2010-01-18
13579.0,14509.0,12463.0,13207.0,238500,2010-01-25
13951.0,13951.0,13170.0,13430.0,183600,2010-02-01
13728.0,14212.0,13133.0,14100.0,151700,2010-02-08
14360.0,14360.0,13393.0,13765.0,105000,2010-02-22
14026.0,16072.0,13802.0,15886.0,622200,2010-03-01
16927.0,17113.0,15439.0,15923.0,586500,2010-03-08
15923.0,18602.0,15737.0,17448.0,1307600,2010-03-15
17225.0,17411.0,15625.0,16146.0,339100,2010-03-22
16518.0,17188.0,15886.0,16667.0,361200,2010-03-29
16741.0,20090.0,16741.0,18862.0,915900,2010-04-05
17783.0,18230.0,17486.0,17597.0,425300,2010-04-12
17486.0,19122.0,17113.0,18378.0,634200,2010-04-19
18602.0,19718.0,18453.0,18788.0,600100,2010-04-26
18974.0,20090.0,17932.0,18230.0,525200,2010-05-04
17858.0,19271.0,17002.0,17820.0,536400,2010-05-10
17820.0,17969.0,14956.0,15179.0,468300,2010-05-17
15811.0,17399.0,15365.0,17360.0,397300,2010-05-24
17132.0,19454.0,16599.0,19454.0,207300,2010-05-31
20711.0,20939.0,18655.0,18998.0,876600,2010-06-07
19036.0,19835.0,18579.0,19607.0,840300,2010-06-14
20749.0,22462.0,18845.0,22462.0,2047700,2010-06-21
28020.0,29924.0,23909.0,24670.0,1480600,2010-06-28
25660.0,25660.0,21548.0,22005.0,922700,2010-07-05
22843.0,26269.0,22005.0,23756.0,732100,2010-07-12
23909.0,24670.0,22386.0,22767.0,548300,2010-07-19
22843.0,23833.0,20406.0,21168.0,587600,2010-07-26
