open,high,low,close,volume,tradingDate
4308.0,4308.0,4308.0,4308.0,6600,2015-06-24
4308.0,4769.0,4526.0,4538.0,2000,2015-06-25
4308.0,4670.0,4348.0,4461.0,7300,2015-06-26
4308.0,4308.0,4308.0,4308.0,100,2015-06-29
4077.0,4077.0,4077.0,4077.0,200,2015-06-30
4461.0,4470.0,4162.0,4461.0,3700,2015-07-01
4692.0,4692.0,4692.0,4692.0,100,2015-07-02
4769.0,4231.0,3753.0,4231.0,200,2015-07-03
4000.0,4000.0,4000.0,4000.0,100,2015-07-06
4384.0,4384.0,4384.0,4384.0,100,2015-07-07
4692.0,4692.0,4692.0,4692.0,200,2015-07-08
4308.0,4308.0,4308.0,4308.0,800,2015-07-09
4692.0,4692.0,4692.0,4692.0,300,2015-07-10
4692.0,4692.0,4692.0,4692.0,0,2015-07-13
4692.0,4692.0,4692.0,4692.0,0,2015-07-14
4615.0,4615.0,4615.0,4615.0,3000,2015-07-15
4615.0,4643.0,4566.0,4615.0,2200,2015-07-16
4154.0,4154.0,4154.0,4154.0,100,2015-07-17
4154.0,4154.0,4154.0,4154.0,0,2015-07-20
4538.0,4538.0,4538.0,4538.0,100,2015-07-21
4538.0,4538.0,4538.0,4538.0,0,2015-07-22
4538.0,4538.0,4538.0,4538.0,0,2015-07-23
4538.0,4538.0,4538.0,4538.0,0,2015-07-24
4538.0,4538.0,4538.0,4538.0,0,2015-07-27
4538.0,4538.0,4538.0,4538.0,0,2015-07-28
4538.0,4538.0,4538.0,4538.0,0,2015-07-29
4615.0,4615.0,4615.0,4615.0,2000,2015-07-30
4615.0,4615.0,4615.0,4615.0,0,2015-07-31
4615.0,4615.0,4615.0,4615.0,0,2015-08-03
4615.0,4615.0,4615.0,4615.0,0,2015-08-04
4615.0,4615.0,4615.0,4615.0,400,2015-08-05
4615.0,4615.0,4615.0,4615.0,0,2015-08-06
4615.0,4615.0,4615.0,4615.0,0,2015-08-07
4615.0,4615.0,4615.0,4615.0,0,2015-08-10
4154.0,4292.0,3738.0,4154.0,500,2015-08-11
4538.0,4538.0,4538.0,4538.0,3600,2015-08-12
4154.0,4154.0,4154.0,4154.0,100,2015-08-13
4154.0,4154.0,4154.0,4154.0,2500,2015-08-14
4154.0,4154.0,4154.0,4154.0,0,2015-08-17
4538.0,3846.0,3259.0,3846.0,6800,2015-08-18
3846.0,3846.0,3846.0,3846.0,0,2015-08-19
3846.0,3846.0,3846.0,3846.0,0,2015-08-20
3846.0,3846.0,3846.0,3846.0,0,2015-08-21
3846.0,3846.0,3846.0,3846.0,0,2015-08-24
3846.0,3846.0,3846.0,3846.0,0,2015-08-25
3846.0,3846.0,3846.0,3846.0,0,2015-08-26
4231.0,4231.0,4231.0,4231.0,100,2015-08-27
4615.0,4615.0,4615.0,4615.0,100,2015-08-28
4308.0,4508.0,4208.0,4308.0,300,2015-08-31
