open,high,low,close,volume,tradingDate
15707.0,15798.0,15384.0,15569.0,89465,2016-03-22
15621.0,15623.0,15366.0,15449.0,113210,2016-03-23
15449.0,16380.0,15683.0,15964.0,97360,2016-03-24
16136.0,16038.0,15219.0,15466.0,68410,2016-03-25
15621.0,16536.0,15757.0,16221.0,124952,2016-03-28
16221.0,16682.0,16086.0,16342.0,140015,2016-03-29
16462.0,16354.0,15895.0,16101.0,73200,2016-03-30
16136.0,15929.0,15421.0,15621.0,178627,2016-03-31
15621.0,15265.0,14761.0,15106.0,94271,2016-04-01
15106.0,14958.0,14538.0,14848.0,86820,2016-04-04
14848.0,15199.0,14832.0,14934.0,120160,2016-04-05
15106.0,15142.0,14715.0,14865.0,46910,2016-04-06
14934.0,15035.0,14863.0,14934.0,35800,2016-04-07
15020.0,16003.0,15133.0,15621.0,82104,2016-04-08
15621.0,16341.0,15686.0,16136.0,86810,2016-04-11
16462.0,16362.0,15867.0,15964.0,47000,2016-04-12
15964.0,15851.0,15340.0,15483.0,105600,2016-04-13
15518.0,15633.0,15428.0,15535.0,58800,2016-04-14
15535.0,15562.0,15341.0,15449.0,61610,2016-04-15
15449.0,15770.0,15360.0,15552.0,86530,2016-04-19
15792.0,15815.0,15522.0,15655.0,50600,2016-04-20
15672.0,16324.0,15688.0,16101.0,86968,2016-04-21
16136.0,17669.0,16444.0,17131.0,221712,2016-04-22
17337.0,18599.0,17383.0,18024.0,134746,2016-04-25
18024.0,18249.0,17728.0,17938.0,56155,2016-04-26
17852.0,17788.0,17104.0,17337.0,93118,2016-04-27
17337.0,17709.0,17137.0,17509.0,48900,2016-04-28
17543.0,18336.0,17744.0,18024.0,67130,2016-04-29
18024.0,18804.0,18114.0,18539.0,128911,2016-05-04
18711.0,18940.0,18457.0,18625.0,99108,2016-05-05
18642.0,18622.0,18212.0,18333.0,71040,2016-05-06
18024.0,18388.0,17910.0,18110.0,74418,2016-05-09
18196.0,18434.0,17572.0,17852.0,113252,2016-05-10
18594.0,19517.0,18407.0,18857.0,145163,2016-05-11
19032.0,20179.0,19394.0,19688.0,167510,2016-05-12
19469.0,20327.0,19213.0,19950.0,156744,2016-05-13
20016.0,20663.0,20025.0,20432.0,175410,2016-05-16
20410.0,20548.0,20111.0,20322.0,104400,2016-05-17
20191.0,20433.0,20037.0,20213.0,72200,2016-05-18
20213.0,20153.0,19631.0,19819.0,154150,2016-05-19
19710.0,20658.0,20013.0,20344.0,44401,2016-05-20
20344.0,20541.0,20129.0,20366.0,34800,2016-05-23
20366.0,20359.0,19947.0,20125.0,37702,2016-05-24
20125.0,20186.0,19730.0,19928.0,61220,2016-05-25
19797.0,20097.0,19770.0,19994.0,68908,2016-05-26
20103.0,20082.0,19712.0,19841.0,37941,2016-05-27
19797.0,20253.0,19791.0,20103.0,54000,2016-05-30
19907.0,20157.0,19851.0,20060.0,47900,2016-05-31
20016.0,20027.0,19853.0,19907.0,46647,2016-06-01
20125.0,22391.0,20928.0,21416.0,123210,2016-06-02
22313.0,22223.0,21352.0,21700.0,39920,2016-06-03
21700.0,21698.0,20801.0,21241.0,67251,2016-06-06
20825.0,21624.0,20837.0,21219.0,38190,2016-06-07
21547.0,21511.0,21206.0,21328.0,48764,2016-06-08
21328.0,22121.0,21025.0,21591.0,78560,2016-06-09
21591.0,21843.0,21467.0,21547.0,28761,2016-06-10
21285.0,21410.0,21126.0,21219.0,33010,2016-06-13
21110.0,21582.0,21056.0,21438.0,56680,2016-06-14
21000.0,22715.0,21039.0,21875.0,145246,2016-06-15
21766.0,21875.0,21549.0,21678.0,111619,2016-06-16
21460.0,21672.0,21299.0,21438.0,79214,2016-06-17
21438.0,23008.0,21591.0,22313.0,110460,2016-06-20
22313.0,22825.0,22279.0,22510.0,107915,2016-06-21
22510.0,22538.0,22059.0,22313.0,37741,2016-06-22
22160.0,22751.0,22033.0,22532.0,38832,2016-06-23
22313.0,23344.0,21071.0,21875.0,345435,2016-06-24
21657.0,21907.0,21010.0,21438.0,79688,2016-06-27
21438.0,21834.0,21372.0,21657.0,48394,2016-06-28
21657.0,22628.0,21811.0,22291.0,98493,2016-06-29
22532.0,23063.0,22193.0,22750.0,203912,2016-06-30
22750.0,23326.0,22566.0,23079.0,113159,2016-07-01
23079.0,23567.0,23128.0,23407.0,94629,2016-07-04
23407.0,23570.0,23047.0,23297.0,85697,2016-07-05
23100.0,23569.0,23260.0,23407.0,158786,2016-07-06
23407.0,24333.0,23456.0,24063.0,139679,2016-07-07
24063.0,24537.0,23421.0,23844.0,90333,2016-07-08
23625.0,22968.0,21798.0,22444.0,210532,2016-07-11
22400.0,23051.0,22349.0,22750.0,99707,2016-07-12
22750.0,23493.0,22877.0,23188.0,43538,2016-07-13
23188.0,22942.0,22292.0,22532.0,119128,2016-07-14
22313.0,22797.0,21867.0,22094.0,134161,2016-07-15
22532.0,22835.0,22392.0,22510.0,28124,2016-07-18
22532.0,22577.0,21920.0,22291.0,58872,2016-07-19
21875.0,22155.0,21741.0,21854.0,95830,2016-07-20
21854.0,22666.0,21463.0,21875.0,89686,2016-07-21
21875.0,22005.0,21653.0,21875.0,64737,2016-07-22
21875.0,22066.0,21457.0,21591.0,34475,2016-07-25
22094.0,22570.0,21706.0,22204.0,73520,2016-07-26
22313.0,22801.0,22252.0,22575.0,73312,2016-07-27
22313.0,22767.0,22330.0,22619.0,44396,2016-07-28
22532.0,23172.0,22731.0,22969.0,42140,2016-07-29
22969.0,23137.0,22213.0,22663.0,69450,2016-08-01
22313.0,22269.0,21748.0,21985.0,50715,2016-08-02
21985.0,22457.0,22017.0,22269.0,46375,2016-08-03
22313.0,22218.0,21893.0,22094.0,33247,2016-08-04
22094.0,22667.0,21890.0,22313.0,65797,2016-08-05
23844.0,23795.0,21896.0,22313.0,25123,2016-08-08
22313.0,24270.0,22816.0,23407.0,220817,2016-08-09
23122.0,23578.0,23097.0,23232.0,70306,2016-08-10
23013.0,24005.0,23189.0,23713.0,80843,2016-08-11
23713.0,23696.0,23193.0,23385.0,61309,2016-08-12
23144.0,23568.0,23259.0,23363.0,60336,2016-08-15
23407.0,23771.0,23313.0,23582.0,129450,2016-08-16
23625.0,25877.0,23981.0,25113.0,219039,2016-08-17
25091.0,26673.0,25495.0,26163.0,103524,2016-08-18
26185.0,26066.0,25086.0,25375.0,57424,2016-08-19
25157.0,25361.0,24924.0,25025.0,80980,2016-08-22
25025.0,25759.0,25079.0,25332.0,61602,2016-08-23
25332.0,25590.0,25174.0,25375.0,56814,2016-08-24
25375.0,26409.0,25743.0,26032.0,82820,2016-08-25
25813.0,26605.0,25415.0,26141.0,59774,2016-08-26
26141.0,26455.0,25546.0,25813.0,71819,2016-08-29
25813.0,26941.0,26228.0,26469.0,46123,2016-08-30
26513.0,27054.0,26459.0,26797.0,49739,2016-08-31
26907.0,27843.0,27180.0,27563.0,98588,2016-09-01
27563.0,28255.0,27269.0,27847.0,87663,2016-09-05
27782.0,28997.0,28111.0,28657.0,93110,2016-09-06
28657.0,29650.0,28543.0,28832.0,52974,2016-09-07
28875.0,29306.0,28650.0,28875.0,42093,2016-09-08
28985.0,28812.0,28051.0,28285.0,78720,2016-09-09
28285.0,28597.0,27942.0,28088.0,46423,2016-09-12
28000.0,29044.0,28249.0,28657.0,45044,2016-09-13
28547.0,29166.0,28725.0,28985.0,47020,2016-09-14
29313.0,30911.0,29640.0,30341.0,87593,2016-09-15
30626.0,32033.0,30508.0,31610.0,86513,2016-09-16
32813.0,32816.0,30847.0,31282.0,59643,2016-09-19
31282.0,32239.0,31246.0,31741.0,32424,2016-09-20
31763.0,32096.0,31548.0,31829.0,57053,2016-09-21
31938.0,32050.0,31465.0,31763.0,66278,2016-09-22
31719.0,32413.0,31818.0,32047.0,25322,2016-09-23
32047.0,32379.0,31941.0,32135.0,22280,2016-09-26
32113.0,32054.0,31858.0,31982.0,28605,2016-09-27
32157.0,32495.0,32079.0,32222.0,64849,2016-09-28
32463.0,32387.0,31842.0,32135.0,45660,2016-09-29
32135.0,33401.0,32281.0,32813.0,94937,2016-09-30
33033.0,36405.0,33386.0,35668.0,111166,2016-10-03
35693.0,35524.0,33903.0,34890.0,102099,2016-10-04
34388.0,35553.0,34541.0,35141.0,54743,2016-10-05
37651.0,37121.0,34399.0,35141.0,95885,2016-10-06
35317.0,35960.0,34004.0,34639.0,125873,2016-10-07
34639.0,34283.0,32917.0,33384.0,66879,2016-10-10
33133.0,34957.0,33144.0,33886.0,132602,2016-10-11
33886.0,34271.0,33768.0,33911.0,23747,2016-10-12
34363.0,34624.0,33688.0,34112.0,22974,2016-10-13
34238.0,34711.0,34003.0,34388.0,59960,2016-10-14
34589.0,35018.0,34492.0,34664.0,47105,2016-10-17
34413.0,34898.0,34443.0,34589.0,22190,2016-10-18
34589.0,34812.0,34462.0,34664.0,42052,2016-10-19
34890.0,34887.0,34512.0,34689.0,86030,2016-10-20
34890.0,34434.0,33567.0,34012.0,43847,2016-10-21
33886.0,33587.0,32247.0,32631.0,80758,2016-10-24
32380.0,33909.0,32173.0,32957.0,167994,2016-10-25
32631.0,33460.0,32754.0,33033.0,26513,2016-10-26
33058.0,33379.0,32976.0,33234.0,30840,2016-10-27
33234.0,33877.0,33194.0,33535.0,43094,2016-10-28
33384.0,33576.0,33024.0,33133.0,34110,2016-10-31
32907.0,33116.0,32614.0,32882.0,64008,2016-11-01
32606.0,32617.0,32119.0,32405.0,70210,2016-11-02
32405.0,32682.0,31701.0,32129.0,99729,2016-11-03
32129.0,31995.0,31447.0,31677.0,50450,2016-11-04
31677.0,32217.0,31764.0,32029.0,81715,2016-11-07
32129.0,32996.0,32021.0,32531.0,31703,2016-11-08
32531.0,32454.0,30801.0,31727.0,95777,2016-11-09
32631.0,33391.0,32628.0,32957.0,48123,2016-11-10
32631.0,33259.0,32654.0,32882.0,28734,2016-11-11
32882.0,32719.0,32095.0,32280.0,44377,2016-11-14
32380.0,32739.0,32313.0,32606.0,34904,2016-11-15
32882.0,33013.0,32585.0,32757.0,6551,2016-11-16
32631.0,32647.0,32471.0,32556.0,13207,2016-11-17
32380.0,32303.0,31780.0,32029.0,29274,2016-11-18
32029.0,31897.0,31572.0,31702.0,27401,2016-11-21
31727.0,31589.0,31140.0,31376.0,52828,2016-11-22
31878.0,32011.0,31129.0,31376.0,73382,2016-11-23
31376.0,32025.0,31468.0,31627.0,38994,2016-11-24
31627.0,31865.0,31388.0,31527.0,41986,2016-11-25
31276.0,31138.0,30242.0,30623.0,60862,2016-11-28
30623.0,29576.0,27765.0,28866.0,124385,2016-11-29
28866.0,32503.0,29068.0,30121.0,84753,2016-11-30
29368.0,30089.0,29313.0,29870.0,16392,2016-12-01
30749.0,30579.0,29331.0,29569.0,20197,2016-12-02
29117.0,30125.0,29155.0,29393.0,46527,2016-12-05
29368.0,29094.0,28472.0,28740.0,34355,2016-12-06
28866.0,30305.0,29042.0,29594.0,62963,2016-12-07
29619.0,29514.0,29264.0,29368.0,20747,2016-12-08
29619.0,32924.0,30590.0,31878.0,130050,2016-12-09
31878.0,32564.0,31612.0,32079.0,42522,2016-12-12
32129.0,31823.0,30332.0,30874.0,47087,2016-12-13
31125.0,31668.0,30914.0,31150.0,89671,2016-12-14
30949.0,31571.0,30894.0,31251.0,61827,2016-12-15
31753.0,33283.0,31926.0,32631.0,68260,2016-12-16
32882.0,33587.0,32592.0,33133.0,68305,2016-12-19
33108.0,33646.0,32795.0,33133.0,66443,2016-12-20
33133.0,33440.0,32964.0,33284.0,52873,2016-12-21
