open,high,low,close,volume,tradingDate
5986.0,6499.0,4549.0,5192.0,100100,2007-12-17
5130.0,5060.0,4631.0,4764.0,72400,2007-12-24
4825.0,4856.0,4123.0,4147.0,27500,2008-01-02
3921.0,4447.0,3729.0,4092.0,97300,2008-01-07
4110.0,4275.0,3562.0,4031.0,91800,2008-01-14
4001.0,4056.0,3582.0,3872.0,71100,2008-01-21
3964.0,4798.0,3762.0,4550.0,178500,2008-01-28
4520.0,4419.0,3854.0,3891.0,117000,2008-02-12
3652.0,3805.0,3068.0,3121.0,100500,2008-02-18
3176.0,3287.0,2874.0,3054.0,48900,2008-02-25
2932.0,2912.0,2355.0,2791.0,43500,2008-03-03
2864.0,3194.0,2663.0,2962.0,105800,2008-03-10
2810.0,2778.0,2139.0,2199.0,91000,2008-03-17
2077.0,2159.0,1821.0,2070.0,66600,2008-03-24
2107.0,2272.0,2107.0,2272.0,1800,2008-03-31
2339.0,2455.0,2303.0,2303.0,77900,2008-04-07
2235.0,2359.0,2144.0,2174.0,35100,2008-04-16
2199.0,2210.0,2076.0,2107.0,26800,2008-04-21
2150.0,2150.0,2018.0,2095.0,53400,2008-04-28
2119.0,2237.0,1936.0,1936.0,54100,2008-05-05
1936.0,1936.0,1722.0,1728.0,14300,2008-05-12
1686.0,1686.0,1502.0,1502.0,9800,2008-05-19
1460.0,1460.0,1296.0,1325.0,113800,2008-05-26
1331.0,1331.0,1185.0,1185.0,9700,2008-06-02
1154.0,1243.0,1154.0,1222.0,18600,2008-06-09
1258.0,1321.0,1223.0,1246.0,57500,2008-06-16
1234.0,1448.0,1234.0,1448.0,148900,2008-06-23
1502.0,1747.0,1502.0,1747.0,20700,2008-06-30
1814.0,2089.0,1697.0,2089.0,157100,2008-07-07
2168.0,2522.0,2168.0,2522.0,122200,2008-07-14
2620.0,2709.0,2303.0,2553.0,562500,2008-07-21
2632.0,2821.0,2520.0,2590.0,466800,2008-07-28
2504.0,2574.0,2352.0,2400.0,567000,2008-08-04
2400.0,2919.0,2400.0,2919.0,840200,2008-08-11
3121.0,3204.0,2667.0,2877.0,815000,2008-08-18
2993.0,3567.0,2993.0,3054.0,697600,2008-08-25
3164.0,3272.0,2816.0,2834.0,130400,2008-09-03
2657.0,2928.0,2413.0,2425.0,353400,2008-09-08
2333.0,2792.0,2344.0,2571.0,513800,2008-09-15
2614.0,2913.0,2470.0,2871.0,537500,2008-09-22
2871.0,2887.0,2565.0,2687.0,489200,2008-09-29
2584.0,2620.0,2138.0,2144.0,434500,2008-10-06
2235.0,2486.0,2131.0,2260.0,359200,2008-10-13
2278.0,2315.0,1826.0,1832.0,240300,2008-10-20
1722.0,1929.0,1661.0,1869.0,399000,2008-10-27
1887.0,2093.0,1753.0,1881.0,263300,2008-11-03
1954.0,2032.0,1692.0,1899.0,126800,2008-11-10
1857.0,1973.0,1759.0,1783.0,70900,2008-11-17
1845.0,1851.0,1466.0,1606.0,100700,2008-11-24
1606.0,1722.0,1564.0,1582.0,115700,2008-12-01
1496.0,1761.0,1484.0,1698.0,120700,2008-12-08
1735.0,1772.0,1582.0,1612.0,59400,2008-12-15
1649.0,1710.0,1576.0,1619.0,30000,2008-12-22
1582.0,1650.0,1576.0,1588.0,12200,2008-12-29
1594.0,1606.0,1594.0,1600.0,1600,2009-01-02
1576.0,1814.0,1576.0,1808.0,195800,2009-01-05
1887.0,1874.0,1692.0,1722.0,109800,2009-01-12
1686.0,1801.0,1582.0,1680.0,29500,2009-01-19
1802.0,1815.0,1515.0,1576.0,38500,2009-02-02
1502.0,1613.0,1423.0,1448.0,18800,2009-02-09
1405.0,1584.0,1270.0,1344.0,52800,2009-02-16
1405.0,1394.0,1224.0,1374.0,75600,2009-02-23
1399.0,1411.0,1224.0,1362.0,38400,2009-03-02
1399.0,1605.0,1332.0,1539.0,106700,2009-03-09
1527.0,1798.0,1527.0,1716.0,188300,2009-03-16
1680.0,1937.0,1644.0,1802.0,128400,2009-03-23
1802.0,1907.0,1777.0,1857.0,127800,2009-03-30
1814.0,2150.0,1843.0,2150.0,211800,2009-04-07
2296.0,2548.0,2126.0,2150.0,847100,2009-04-13
2028.0,2183.0,1870.0,1924.0,254900,2009-04-20
1906.0,2041.0,1833.0,1985.0,93300,2009-04-27
2077.0,2273.0,2034.0,2180.0,373000,2009-05-04
2260.0,2359.0,1971.0,2034.0,255600,2009-05-11
1985.0,2345.0,1942.0,2199.0,489100,2009-05-18
2058.0,2340.0,2029.0,2095.0,214600,2009-05-25
2125.0,2614.0,2119.0,2614.0,902100,2009-06-01
2779.0,3012.0,2587.0,2974.0,1248600,2009-06-08
3139.0,3176.0,2822.0,2999.0,803900,2009-06-15
2871.0,3007.0,2682.0,2871.0,478500,2009-06-22
2840.0,2950.0,2796.0,2901.0,206500,2009-06-29
2932.0,3011.0,2767.0,2773.0,291600,2009-07-06
2687.0,2811.0,2505.0,2687.0,200100,2009-07-13
2687.0,2978.0,2663.0,2956.0,301600,2009-07-20
3023.0,3035.0,2590.0,2901.0,94300,2009-07-27
2810.0,3013.0,2773.0,2840.0,280500,2009-08-03
2932.0,3102.0,2717.0,2993.0,117600,2009-08-10
2791.0,3207.0,2831.0,3158.0,248600,2009-08-17
3268.0,3475.0,3164.0,3408.0,152800,2009-08-24
3542.0,3931.0,3347.0,3396.0,140300,2009-08-31
3268.0,3787.0,3176.0,3768.0,55600,2009-09-07
3903.0,3909.0,3420.0,3768.0,301000,2009-09-14
3787.0,3848.0,3359.0,3426.0,176200,2009-09-21
3634.0,3665.0,3207.0,3219.0,341500,2009-09-28
3420.0,3555.0,3127.0,3323.0,218700,2009-10-05
3555.0,3909.0,3481.0,3628.0,636800,2009-10-12
3628.0,3958.0,3573.0,3878.0,942300,2009-10-19
3970.0,4123.0,3451.0,3616.0,413100,2009-10-26
3365.0,3665.0,3115.0,3542.0,175800,2009-11-02
3542.0,3604.0,3268.0,3378.0,110600,2009-11-09
3359.0,3487.0,3182.0,3414.0,91300,2009-11-16
3475.0,3475.0,2620.0,2956.0,203400,2009-11-23
3115.0,3329.0,2810.0,3280.0,116100,2009-11-30
3390.0,3451.0,3072.0,3078.0,63800,2009-12-07
3292.0,3481.0,3115.0,3475.0,232700,2009-12-14
3573.0,3695.0,3378.0,3640.0,151600,2009-12-21
3604.0,3805.0,3512.0,3665.0,41500,2009-12-28
3665.0,3732.0,3604.0,3665.0,109800,2010-01-04
3665.0,3756.0,3396.0,3602.0,45700,2010-01-11
3488.0,3791.0,3431.0,3665.0,60200,2010-01-18
3665.0,3779.0,3475.0,3766.0,87900,2010-01-25
3696.0,3696.0,3475.0,3621.0,6700,2010-02-01
3854.0,4044.0,3633.0,3791.0,40600,2010-02-08
3981.0,3981.0,3602.0,3747.0,33800,2010-02-22
3488.0,3779.0,3317.0,3640.0,18100,2010-03-01
3538.0,3665.0,3507.0,3621.0,29600,2010-03-08
3665.0,3665.0,3381.0,3538.0,1600,2010-03-15
3412.0,3412.0,3279.0,3336.0,21700,2010-03-22
3349.0,3538.0,3273.0,3507.0,26200,2010-03-29
3595.0,3595.0,3381.0,3431.0,32300,2010-04-05
3475.0,3595.0,3317.0,3538.0,19900,2010-04-12
3412.0,3633.0,3381.0,3564.0,18800,2010-04-19
3564.0,3633.0,3355.0,3570.0,12900,2010-04-26
3475.0,3602.0,3475.0,3557.0,13800,2010-05-04
3355.0,3475.0,3159.0,3172.0,31600,2010-05-10
3121.0,3159.0,2704.0,2730.0,38200,2010-05-17
2730.0,3311.0,2717.0,3229.0,47700,2010-05-24
3071.0,3330.0,3033.0,3096.0,21300,2010-05-31
2907.0,3058.0,2843.0,2957.0,9400,2010-06-07
3147.0,3223.0,2907.0,2907.0,2100,2010-06-14
2907.0,3077.0,2843.0,2919.0,11000,2010-06-21
2938.0,3001.0,2938.0,2970.0,7400,2010-06-28
2970.0,2995.0,2496.0,2559.0,21400,2010-07-05
2736.0,2970.0,2736.0,2894.0,10700,2010-07-12
2843.0,3096.0,2755.0,3052.0,176300,2010-07-19
3052.0,3052.0,2799.0,2907.0,37000,2010-07-26
2938.0,3020.0,2730.0,2780.0,10000,2010-08-02
2660.0,2780.0,2338.0,2603.0,89700,2010-08-09
2761.0,3096.0,2685.0,3027.0,60000,2010-08-16
2843.0,2843.0,2502.0,2711.0,8200,2010-08-23
2894.0,2900.0,2654.0,2660.0,27300,2010-08-30
2685.0,2843.0,2654.0,2673.0,54800,2010-09-06
