open,high,low,close,volume,tradingDate
3272.0,3278.0,3187.0,3227.0,11001,2015-06-25
3272.0,3259.0,3127.0,3227.0,38500,2015-06-26
3227.0,3291.0,3245.0,3272.0,2500,2015-06-29
3181.0,3264.0,3218.0,3227.0,5200,2015-06-30
3181.0,3218.0,2946.0,3136.0,10600,2015-07-01
3091.0,3143.0,3097.0,3136.0,15600,2015-07-02
3181.0,3199.0,3154.0,3181.0,12900,2015-07-03
3318.0,3329.0,3284.0,3318.0,800,2015-07-06
3272.0,3326.0,3281.0,3318.0,5300,2015-07-07
3318.0,3302.0,3166.0,3227.0,13300,2015-07-08
3181.0,3185.0,3140.0,3181.0,18651,2015-07-09
3181.0,3069.0,2938.0,3045.0,43100,2015-07-10
3181.0,3181.0,3181.0,3181.0,19700,2015-07-13
2863.0,3277.0,2867.0,3091.0,16000,2015-07-14
3181.0,3247.0,3108.0,3136.0,5800,2015-07-15
3045.0,3209.0,3116.0,3136.0,15900,2015-07-16
3136.0,3078.0,2944.0,3045.0,5530,2015-07-17
3181.0,3222.0,3038.0,3091.0,17500,2015-07-20
2954.0,3231.0,3088.0,3091.0,23100,2015-07-21
3091.0,3091.0,3091.0,3091.0,0,2015-07-22
3045.0,3163.0,3023.0,3091.0,3400,2015-07-23
2954.0,2949.0,2773.0,2863.0,26000,2015-07-24
2863.0,3153.0,2965.0,3045.0,7400,2015-07-27
2954.0,2996.0,2951.0,2954.0,4606,2015-07-28
3000.0,3122.0,2982.0,3045.0,13800,2015-07-29
2954.0,2913.0,2868.0,2909.0,8000,2015-07-30
2954.0,2922.0,2877.0,2909.0,1400,2015-07-31
3091.0,3195.0,3104.0,3181.0,11330,2015-08-03
3500.0,3500.0,3500.0,3500.0,24800,2015-08-04
3818.0,3824.0,3779.0,3818.0,363300,2015-08-05
3863.0,3853.0,3539.0,3636.0,168400,2015-08-06
3681.0,4045.0,3723.0,4000.0,146400,2015-08-07
3863.0,4145.0,3915.0,4090.0,79620,2015-08-10
4090.0,4253.0,4114.0,4181.0,109000,2015-08-11
4181.0,4385.0,4159.0,4272.0,270700,2015-08-12
4227.0,4230.0,4094.0,4181.0,156200,2015-08-13
4136.0,4286.0,4149.0,4227.0,67700,2015-08-14
4181.0,4283.0,4056.0,4181.0,67275,2015-08-17
4090.0,4114.0,4069.0,4090.0,24000,2015-08-18
4181.0,4265.0,4080.0,4136.0,52816,2015-08-19
4136.0,4125.0,4080.0,4090.0,56109,2015-08-20
4045.0,3978.0,3889.0,3954.0,55300,2015-08-21
3681.0,3925.0,3568.0,3681.0,68071,2015-08-24
3409.0,3998.0,3522.0,3818.0,49600,2015-08-25
3863.0,3891.0,3754.0,3863.0,66500,2015-08-26
3863.0,3936.0,3890.0,3909.0,8400,2015-08-27
3863.0,3955.0,3909.0,3909.0,34100,2015-08-28
3909.0,4153.0,4013.0,4045.0,21900,2015-08-31
4272.0,4236.0,4056.0,4090.0,10800,2015-09-01
4090.0,4058.0,4013.0,4045.0,7000,2015-09-03
3863.0,4235.0,4045.0,4045.0,2100,2015-09-04
4363.0,4306.0,4082.0,4136.0,2900,2015-09-07
3909.0,3994.0,3814.0,3863.0,7200,2015-09-08
