open,high,low,close,volume,tradingDate
5500.0,5501.0,4401.0,4767.0,248120,2009-12-17
4914.0,5134.0,4694.0,4988.0,202910,2009-12-21
5134.0,5134.0,4767.0,4914.0,184570,2009-12-28
5134.0,6198.0,5024.0,5648.0,961920,2010-01-04
5500.0,5794.0,5171.0,5318.0,466840,2010-01-11
5317.0,5318.0,4841.0,4841.0,391670,2010-01-18
4914.0,5354.0,4694.0,5134.0,495300,2010-01-25
5170.0,5432.0,4988.0,5134.0,178190,2010-02-01
5060.0,5244.0,4914.0,5171.0,83840,2010-02-08
5170.0,5208.0,4951.0,5061.0,113580,2010-02-22
5061.0,5318.0,5024.0,5171.0,150030,2010-03-01
5281.0,5354.0,5171.0,5281.0,209510,2010-03-08
5280.0,5354.0,5134.0,5281.0,217340,2010-03-15
5280.0,5281.0,5061.0,5098.0,69550,2010-03-22
5061.0,5611.0,4988.0,5538.0,1057980,2010-03-29
5684.0,5904.0,5501.0,5868.0,599550,2010-04-05
6087.0,6308.0,5941.0,6234.0,894140,2010-04-12
6014.0,6344.0,5978.0,6271.0,486130,2010-04-19
6088.0,6161.0,6014.0,6161.0,419410,2010-04-26
6454.0,7188.0,6344.0,7005.0,1325880,2010-05-04
7187.0,7188.0,6234.0,6344.0,880280,2010-05-10
6380.0,6619.0,5952.0,6085.0,430930,2010-05-17
6130.0,6974.0,5952.0,6841.0,479390,2010-05-24
6841.0,6929.0,6308.0,6485.0,386970,2010-05-31
6219.0,6574.0,6041.0,6396.0,164800,2010-06-07
6485.0,6485.0,6174.0,6219.0,142960,2010-06-14
6352.0,6352.0,6130.0,6174.0,152330,2010-06-21
6219.0,6263.0,6130.0,6263.0,46720,2010-06-28
6130.0,6308.0,6085.0,6174.0,81340,2010-07-05
6219.0,6263.0,6085.0,6219.0,77730,2010-07-12
6041.0,6352.0,6041.0,6085.0,97520,2010-07-19
5997.0,6174.0,5775.0,5863.0,276830,2010-07-26
5819.0,6041.0,5508.0,5775.0,126900,2010-08-02
5597.0,5865.0,5323.0,5684.0,131120,2010-08-09
5820.0,5820.0,5369.0,5504.0,71450,2010-08-16
5549.0,5549.0,4692.0,4917.0,195680,2010-08-23
4917.0,5504.0,4917.0,5278.0,54570,2010-08-30
5414.0,5549.0,5008.0,5008.0,64350,2010-09-06
4872.0,5459.0,4827.0,5188.0,30470,2010-09-13
5008.0,5369.0,4963.0,5098.0,43830,2010-09-20
5098.0,5369.0,5053.0,5233.0,120530,2010-09-27
5008.0,5369.0,4963.0,5143.0,24760,2010-10-04
5369.0,5369.0,4872.0,5233.0,18020,2010-10-11
5053.0,5278.0,4872.0,4963.0,34380,2010-10-18
5143.0,5414.0,4917.0,5414.0,42660,2010-10-25
5369.0,5414.0,5188.0,5414.0,43680,2010-11-01
5278.0,5369.0,5008.0,5188.0,163990,2010-11-08
5143.0,5278.0,4963.0,5278.0,22030,2010-11-15
5278.0,5278.0,5098.0,5233.0,26780,2010-11-22
5323.0,5684.0,5278.0,5684.0,37970,2010-11-29
5865.0,5865.0,5549.0,5732.0,114140,2010-12-06
5777.0,5961.0,5594.0,5777.0,159010,2010-12-13
5732.0,5869.0,5732.0,5732.0,77810,2010-12-20
5732.0,5961.0,5732.0,5961.0,34710,2010-12-27
5869.0,6144.0,5777.0,5823.0,65110,2011-01-04
5915.0,5915.0,5594.0,5777.0,31030,2011-01-10
5915.0,5915.0,5548.0,5869.0,19110,2011-01-17
5686.0,5961.0,5640.0,5961.0,19930,2011-01-24
6053.0,6053.0,5594.0,5869.0,4050,2011-02-08
5686.0,5869.0,5686.0,5777.0,7780,2011-02-14
5594.0,5869.0,5502.0,5777.0,11970,2011-02-21
5777.0,5777.0,5135.0,5227.0,10300,2011-02-28
5227.0,5640.0,5135.0,5640.0,28240,2011-03-07
5365.0,5456.0,5135.0,5319.0,20980,2011-03-14
5319.0,5502.0,5135.0,5227.0,20280,2011-03-21
5411.0,5502.0,5411.0,5502.0,12670,2011-03-28
5456.0,5456.0,5227.0,5456.0,9700,2011-04-04
5319.0,5365.0,5319.0,5365.0,1670,2011-04-13
5365.0,5365.0,5181.0,5181.0,9590,2011-04-18
5365.0,5686.0,5365.0,5686.0,4950,2011-04-25
5686.0,5823.0,5594.0,5686.0,23650,2011-05-04
5686.0,5686.0,5640.0,5686.0,79600,2011-05-09
5686.0,5686.0,5411.0,5502.0,70290,2011-05-16
5273.0,5319.0,5135.0,5273.0,28610,2011-05-23
5273.0,5777.0,5273.0,5777.0,6990,2011-05-30
5502.0,5867.0,5502.0,5867.0,1780,2011-06-06
5573.0,5867.0,5573.0,5855.0,5730,2011-06-13
5855.0,5855.0,5573.0,5745.0,1040,2011-06-20
