open,high,low,close,volume,tradingDate
15700.0,15700.0,14500.0,15100.0,21500,2015-07-07
15100.0,15100.0,14600.0,14600.0,16000,2015-07-08
15200.0,15200.0,15000.0,15100.0,2400,2015-07-09
15000.0,15000.0,14900.0,14900.0,15900,2015-07-10
15800.0,15800.0,15000.0,15100.0,15600,2015-07-13
14600.0,15100.0,14600.0,14800.0,6600,2015-07-14
14700.0,14900.0,14600.0,14900.0,9900,2015-07-15
14500.0,14700.0,14300.0,14300.0,29900,2015-07-16
14300.0,14300.0,14300.0,14300.0,0,2015-07-17
14100.0,14800.0,14100.0,14800.0,2700,2015-07-20
14500.0,14800.0,14500.0,14800.0,400,2015-07-21
14200.0,14700.0,14200.0,14700.0,21200,2015-07-22
14700.0,15000.0,14500.0,14500.0,14710,2015-07-23
15000.0,15000.0,15000.0,15000.0,1000,2015-07-24
15000.0,15000.0,14800.0,15000.0,2300,2015-07-27
15000.0,15000.0,15000.0,15000.0,0,2015-07-28
14900.0,14900.0,14900.0,14900.0,2000,2015-07-29
14900.0,14900.0,14900.0,14900.0,0,2015-07-30
14900.0,14900.0,14900.0,14900.0,0,2015-07-31
14900.0,14900.0,14900.0,14900.0,0,2015-08-03
15200.0,15200.0,13500.0,13500.0,500,2015-08-04
14600.0,14600.0,14600.0,14600.0,200,2015-08-05
15100.0,15100.0,15100.0,15100.0,600,2015-08-06
14900.0,14900.0,14900.0,14900.0,1000,2015-08-07
14800.0,14800.0,14700.0,14700.0,2000,2015-08-10
14700.0,14700.0,14700.0,14700.0,0,2015-08-11
14300.0,14700.0,14300.0,14700.0,2500,2015-08-12
14500.0,14500.0,13800.0,13800.0,3900,2015-08-13
14200.0,14800.0,14100.0,14800.0,2400,2015-08-14
13800.0,14400.0,13500.0,14400.0,6600,2015-08-17
14000.0,14000.0,14000.0,14000.0,1500,2015-08-18
13800.0,13800.0,13800.0,13800.0,100,2015-08-19
13300.0,14300.0,13300.0,14300.0,4300,2015-08-20
13000.0,13900.0,13000.0,13800.0,3300,2015-08-21
12700.0,12700.0,12500.0,12500.0,9500,2015-08-24
13100.0,13100.0,13100.0,13100.0,100,2015-08-25
13900.0,13900.0,12100.0,12100.0,300,2015-08-26
13000.0,13000.0,13000.0,13000.0,600,2015-08-27
12900.0,12900.0,12900.0,12900.0,100,2015-08-28
14000.0,14000.0,14000.0,14000.0,100,2015-08-31
15200.0,15200.0,13000.0,14600.0,700,2015-09-01
13300.0,13300.0,13300.0,13300.0,200,2015-09-03
13300.0,13300.0,13300.0,13300.0,0,2015-09-04
13000.0,13000.0,12000.0,13000.0,1300,2015-09-07
13900.0,13900.0,11700.0,11800.0,9900,2015-09-08
12900.0,12900.0,12900.0,12900.0,220,2015-09-09
12900.0,12900.0,12900.0,12900.0,0,2015-09-10
12900.0,12900.0,12900.0,12900.0,0,2015-09-11
13000.0,13000.0,12900.0,12900.0,200,2015-09-14
13000.0,13900.0,13000.0,13900.0,200,2015-09-15
13900.0,13900.0,13900.0,13900.0,0,2015-09-16
12600.0,12800.0,12600.0,12600.0,13600,2015-09-17
12000.0,12000.0,12000.0,12000.0,1200,2015-09-18
12200.0,12500.0,12200.0,12500.0,200,2015-09-21
12500.0,12500.0,12500.0,12500.0,0,2015-09-22
12500.0,12500.0,12500.0,12500.0,100,2015-09-23
12000.0,12000.0,11700.0,11900.0,7700,2015-09-24
11900.0,11900.0,11900.0,11900.0,63,2015-09-25
11900.0,11900.0,11900.0,11900.0,0,2015-09-28
13000.0,13000.0,11000.0,12700.0,13400,2015-09-29
12600.0,12600.0,12600.0,12600.0,2500,2015-09-30
11400.0,12100.0,11400.0,12100.0,5800,2015-10-01
11000.0,11800.0,10900.0,11800.0,8800,2015-10-02
11000.0,11000.0,11000.0,11000.0,1000,2015-10-05
12100.0,12100.0,12000.0,12100.0,1200,2015-10-06
13100.0,13100.0,12000.0,12000.0,8700,2015-10-07
11900.0,11900.0,11900.0,11900.0,100,2015-10-08
11000.0,12300.0,11000.0,12300.0,1600,2015-10-09
12600.0,12600.0,11200.0,12000.0,6300,2015-10-12
11000.0,12400.0,11000.0,12400.0,2100,2015-10-13
12000.0,12000.0,12000.0,12000.0,100,2015-10-14
11000.0,11500.0,10900.0,11500.0,2400,2015-10-15
11000.0,11000.0,10700.0,10900.0,10700,2015-10-16
11900.0,11900.0,10900.0,10900.0,800,2015-10-19
11900.0,11900.0,11900.0,11900.0,100,2015-10-20
11000.0,11400.0,10800.0,10800.0,11100,2015-10-21
11000.0,11500.0,11000.0,11500.0,4700,2015-10-22
11500.0,12600.0,11500.0,12600.0,1300,2015-10-23
13000.0,13000.0,13000.0,13000.0,100,2015-10-26
11700.0,11700.0,11700.0,11700.0,2900,2015-10-27
12800.0,12800.0,10700.0,12000.0,4200,2015-10-28
12500.0,12500.0,12500.0,12500.0,100,2015-10-29
11300.0,12400.0,11300.0,12400.0,4200,2015-10-30
12400.0,12400.0,12400.0,12400.0,0,2015-11-02
12200.0,13400.0,12000.0,13400.0,4700,2015-11-03
12100.0,12100.0,12100.0,12100.0,100,2015-11-04
11500.0,13100.0,11500.0,12500.0,10000,2015-11-05
13000.0,13000.0,12000.0,12000.0,1000,2015-11-06
13000.0,13000.0,13000.0,13000.0,100,2015-11-09
11700.0,11700.0,11700.0,11700.0,4700,2015-11-10
11100.0,11600.0,10600.0,10600.0,26000,2015-11-11
10600.0,11400.0,10000.0,11400.0,6900,2015-11-12
11500.0,11500.0,10700.0,11500.0,4800,2015-11-13
11300.0,11500.0,11300.0,11500.0,8800,2015-11-16
11500.0,11500.0,11500.0,11500.0,1800,2015-11-17
11800.0,11800.0,11500.0,11700.0,1300,2015-11-18
11200.0,11500.0,11200.0,11500.0,3900,2015-11-19
11000.0,11500.0,11000.0,11500.0,900,2015-11-20
11500.0,11500.0,10500.0,11500.0,2200,2015-11-23
10800.0,11500.0,10800.0,11500.0,400,2015-11-24
11600.0,11600.0,10600.0,11400.0,700,2015-11-25
11000.0,11000.0,11000.0,11000.0,19400,2015-11-26
10100.0,11000.0,10100.0,11000.0,7100,2015-11-27
10500.0,10900.0,10500.0,10800.0,2400,2015-11-30
10800.0,10800.0,10800.0,10800.0,6000,2015-12-01
10800.0,11000.0,10800.0,11000.0,18800,2015-12-02
11200.0,11200.0,10300.0,11000.0,500,2015-12-03
11000.0,11300.0,11000.0,11000.0,15100,2015-12-04
10300.0,11000.0,10300.0,11000.0,8000,2015-12-07
10900.0,11700.0,10900.0,11700.0,17200,2015-12-08
11800.0,11800.0,11000.0,11600.0,13100,2015-12-09
11800.0,11800.0,11000.0,11700.0,1700,2015-12-10
11700.0,11700.0,11100.0,11500.0,2400,2015-12-11
11600.0,12500.0,11600.0,12500.0,3200,2015-12-14
12900.0,12900.0,12000.0,12400.0,2100,2015-12-15
12400.0,12400.0,12400.0,12400.0,0,2015-12-16
11900.0,11900.0,11400.0,11900.0,2600,2015-12-17
11800.0,12800.0,11800.0,12800.0,11100,2015-12-18
12800.0,12800.0,12800.0,12800.0,0,2015-12-21
12800.0,13500.0,12800.0,13500.0,600,2015-12-22
13500.0,13900.0,12200.0,12700.0,11600,2015-12-23
12500.0,12500.0,12500.0,12500.0,500,2015-12-24
12400.0,12800.0,12400.0,12800.0,3500,2015-12-25
12000.0,12900.0,12000.0,12900.0,51400,2015-12-28
12900.0,14100.0,12900.0,14100.0,175900,2015-12-29
15400.0,15500.0,15000.0,15400.0,54700,2015-12-30
15900.0,16800.0,15200.0,16700.0,218500,2015-12-31
16800.0,16900.0,15100.0,15100.0,7700,2016-01-04
13600.0,14500.0,13600.0,14000.0,67000,2016-01-05
13600.0,14100.0,13100.0,13800.0,24500,2016-01-06
13600.0,13600.0,12800.0,13600.0,23310,2016-01-07
