open,high,low,close,volume,tradingDate
6477.0,6477.0,5474.0,5793.0,317580,2007-12-24
5656.0,5748.0,5383.0,5383.0,43800,2008-01-02
5200.0,5200.0,4653.0,4881.0,75370,2008-01-07
5018.0,5200.0,4835.0,4835.0,118340,2008-01-14
5018.0,5018.0,4251.0,4379.0,122610,2008-01-21
4206.0,4562.0,4160.0,4470.0,386360,2008-01-28
4297.0,4653.0,4288.0,4470.0,135710,2008-02-12
4288.0,4425.0,3713.0,3741.0,216800,2008-02-18
3923.0,3923.0,3647.0,3815.0,45470,2008-02-25
3628.0,3787.0,3282.0,3610.0,157450,2008-03-03
3787.0,3787.0,3207.0,3273.0,163480,2008-03-10
3273.0,3273.0,2946.0,2946.0,99140,2008-03-17
2805.0,2843.0,2534.0,2843.0,130240,2008-03-24
2871.0,2983.0,2871.0,2983.0,2020,2008-03-31
3039.0,3151.0,3039.0,3039.0,148050,2008-04-07
2983.0,2983.0,2871.0,2983.0,153030,2008-04-16
2927.0,2983.0,2712.0,2759.0,135610,2008-04-21
2805.0,2861.0,2805.0,2861.0,77220,2008-04-28
2805.0,2919.0,2804.0,2804.0,173620,2008-05-05
2757.0,2757.0,2567.0,2614.0,310770,2008-05-12
2567.0,2605.0,2415.0,2415.0,202560,2008-05-19
2367.0,2367.0,2329.0,2329.0,6390,2008-05-26
2291.0,2329.0,2177.0,2177.0,650,2008-06-02
2139.0,2139.0,2025.0,2129.0,78820,2008-06-09
2168.0,2206.0,2053.0,2053.0,85740,2008-06-16
1996.0,1996.0,1787.0,1787.0,294660,2008-06-23
1740.0,1930.0,1740.0,1930.0,158430,2008-06-30
1987.0,2034.0,1873.0,2025.0,302100,2008-07-07
2082.0,2253.0,2082.0,2196.0,467240,2008-07-14
2139.0,2139.0,1911.0,1911.0,56180,2008-07-21
1854.0,2025.0,1854.0,1854.0,122800,2008-07-28
1825.0,1901.0,1759.0,1901.0,54890,2008-08-04
1958.0,2187.0,1958.0,2187.0,24310,2008-08-11
2291.0,2557.0,2196.0,2557.0,254140,2008-08-18
2681.0,2947.0,2671.0,2823.0,296980,2008-08-25
2957.0,3251.0,2947.0,2947.0,175860,2008-09-03
2814.0,2852.0,2538.0,2652.0,74610,2008-09-08
2776.0,2852.0,2548.0,2842.0,151390,2008-09-15
2976.0,3327.0,2976.0,3071.0,301090,2008-09-22
2919.0,2919.0,2424.0,2548.0,130280,2008-09-29
2472.0,2567.0,2187.0,2187.0,61950,2008-10-06
2091.0,2500.0,2091.0,2500.0,33100,2008-10-13
2377.0,2567.0,2196.0,2196.0,179250,2008-10-20
2196.0,2196.0,1721.0,1892.0,331480,2008-10-27
1806.0,2034.0,1740.0,1740.0,139710,2008-11-03
1806.0,1987.0,1664.0,1825.0,94590,2008-11-10
1863.0,1863.0,1702.0,1759.0,253250,2008-11-17
1806.0,1825.0,1702.0,1759.0,146670,2008-11-24
1844.0,1971.0,1759.0,1971.0,209990,2008-12-01
1971.0,2133.0,1971.0,2032.0,25520,2008-12-08
2032.0,2032.0,1849.0,1930.0,12330,2008-12-15
1879.0,2032.0,1747.0,1829.0,32000,2008-12-22
1920.0,2103.0,1920.0,1930.0,24280,2008-12-29
1930.0,2001.0,1930.0,2001.0,1030,2009-01-02
2022.0,2032.0,1879.0,2032.0,90830,2009-01-05
2072.0,2072.0,1930.0,1930.0,19860,2009-01-12
1869.0,1920.0,1829.0,1920.0,730,2009-01-19
1930.0,2082.0,1930.0,2082.0,3390,2009-02-02
2164.0,2164.0,1981.0,2062.0,14150,2009-02-09
2082.0,2082.0,1788.0,1788.0,2950,2009-02-16
1727.0,1829.0,1727.0,1829.0,26260,2009-02-23
1930.0,2032.0,1757.0,2032.0,11820,2009-03-02
2032.0,2316.0,1950.0,1950.0,27520,2009-03-09
1879.0,2164.0,1879.0,2133.0,84750,2009-03-16
2032.0,2184.0,2032.0,2143.0,105500,2009-03-23
2133.0,2235.0,2052.0,2235.0,98820,2009-03-30
2336.0,2336.0,2133.0,2255.0,120060,2009-04-07
2255.0,2428.0,2154.0,2377.0,139450,2009-04-13
2377.0,2377.0,2062.0,2062.0,24190,2009-04-20
2133.0,2377.0,2072.0,2336.0,23140,2009-04-27
2448.0,2743.0,2438.0,2590.0,165280,2009-05-04
2540.0,3281.0,2540.0,3281.0,309680,2009-05-11
3444.0,3454.0,2966.0,2966.0,117950,2009-05-18
3109.0,3251.0,2946.0,3139.0,57350,2009-05-25
2987.0,3413.0,2987.0,3413.0,294620,2009-06-01
3576.0,3748.0,3281.0,3281.0,525240,2009-06-08
3119.0,3342.0,2824.0,3088.0,171700,2009-06-15
3048.0,3088.0,2794.0,2936.0,53420,2009-06-22
3048.0,3048.0,2753.0,2936.0,44680,2009-06-29
3048.0,3149.0,2804.0,2824.0,77870,2009-07-06
2946.0,3129.0,2804.0,3129.0,64620,2009-07-13
3129.0,3251.0,2976.0,3251.0,87430,2009-07-20
3251.0,3434.0,3200.0,3434.0,295690,2009-07-27
3302.0,3748.0,3302.0,3505.0,297060,2009-08-03
3505.0,4206.0,3505.0,4206.0,302400,2009-08-10
4409.0,5333.0,4206.0,5333.0,378800,2009-08-17
5079.0,5587.0,4876.0,5587.0,513400,2009-08-24
5689.0,6298.0,5638.0,5790.0,427600,2009-08-31
5994.0,6044.0,5536.0,5994.0,76010,2009-09-07
5841.0,6146.0,5740.0,6044.0,101500,2009-09-14
5943.0,6095.0,5689.0,5892.0,127670,2009-09-21
6095.0,6197.0,5740.0,5892.0,180720,2009-09-28
5892.0,6501.0,5689.0,6501.0,166810,2009-10-05
6806.0,6806.0,6197.0,6197.0,138920,2009-10-12
6044.0,6857.0,6044.0,6146.0,193800,2009-10-19
6400.0,6501.0,6146.0,6298.0,208290,2009-10-26
5994.0,6400.0,5486.0,5841.0,206890,2009-11-02
5587.0,6044.0,5384.0,5841.0,28350,2009-11-09
5943.0,6044.0,5740.0,5892.0,108030,2009-11-16
5892.0,5943.0,5181.0,5587.0,30310,2009-11-23
5384.0,5740.0,5384.0,5536.0,32040,2009-11-30
5587.0,5692.0,5378.0,5587.0,37010,2009-12-07
5640.0,5848.0,5326.0,5848.0,45910,2009-12-14
5744.0,5848.0,5587.0,5848.0,30910,2009-12-21
5848.0,5901.0,5640.0,5640.0,11650,2009-12-28
5483.0,5796.0,5378.0,5640.0,188230,2010-01-04
5587.0,5587.0,5065.0,5201.0,41460,2010-01-11
5222.0,5222.0,4909.0,5128.0,142010,2010-01-18
5211.0,5211.0,5107.0,5107.0,10430,2010-01-25
5149.0,5190.0,4804.0,5013.0,33490,2010-02-01
4804.0,5170.0,4804.0,5023.0,20300,2010-02-08
5034.0,5034.0,4783.0,4804.0,12520,2010-02-22
4700.0,4909.0,4606.0,4647.0,42790,2010-03-01
4752.0,4804.0,4574.0,4595.0,40520,2010-03-08
4804.0,5002.0,4647.0,4700.0,190830,2010-03-15
4700.0,4794.0,4501.0,4501.0,56250,2010-03-22
4689.0,4700.0,4501.0,4501.0,26530,2010-03-29
4501.0,4700.0,4501.0,4606.0,68590,2010-04-05
4752.0,4752.0,4595.0,4595.0,61230,2010-04-12
4616.0,4825.0,4595.0,4710.0,123290,2010-04-19
4752.0,4919.0,4689.0,4741.0,152050,2010-04-26
4835.0,4867.0,4616.0,4637.0,135590,2010-05-04
4616.0,4637.0,4282.0,4282.0,32610,2010-05-10
4261.0,4261.0,3822.0,3822.0,94760,2010-05-17
3718.0,4104.0,3707.0,4104.0,67970,2010-05-24
4198.0,4198.0,3969.0,4073.0,5960,2010-05-31
4073.0,4104.0,3906.0,3927.0,46340,2010-06-07
4104.0,4533.0,3854.0,4533.0,111140,2010-06-14
4543.0,4700.0,4282.0,4480.0,44730,2010-06-21
