open,high,low,close,volume,tradingDate
52060.0,52060.0,42845.0,45015.0,726280,2008-01-28
43384.0,43387.0,38774.0,38774.0,296170,2008-02-12
36878.0,37421.0,30644.0,30644.0,219550,2008-02-18
30369.0,31997.0,26573.0,26573.0,393170,2008-02-25
25272.0,25272.0,22834.0,25161.0,607530,2008-03-03
26413.0,26414.0,19851.0,20122.0,492830,2008-03-10
20117.0,20335.0,15672.0,15672.0,207610,2008-03-17
14914.0,14914.0,13506.0,13776.0,153070,2008-03-24
13881.0,14319.0,13881.0,14319.0,7650,2008-03-31
14587.0,15456.0,14587.0,15456.0,456630,2008-04-07
15573.0,16331.0,15514.0,16331.0,128370,2008-04-16
16622.0,16914.0,16039.0,16214.0,573230,2008-04-21
16506.0,16797.0,15981.0,16797.0,451140,2008-04-28
17089.0,17381.0,16506.0,16506.0,864930,2008-05-05
16214.0,16214.0,15339.0,16214.0,277300,2008-05-12
16506.0,17089.0,15923.0,15923.0,186570,2008-05-19
15631.0,15631.0,15631.0,15631.0,34140,2008-05-26
15048.0,15048.0,13998.0,13998.0,2350,2008-06-02
13765.0,14231.0,13298.0,14231.0,102780,2008-06-09
14464.0,14989.0,13590.0,13590.0,226430,2008-06-16
13939.0,14698.0,13298.0,14406.0,162260,2008-06-23
14581.0,15689.0,13998.0,15689.0,133710,2008-06-30
16097.0,16097.0,13648.0,14406.0,211900,2008-07-07
14814.0,15573.0,14464.0,14523.0,274330,2008-07-14
14114.0,14114.0,12598.0,12598.0,3430,2008-07-21
12248.0,12248.0,10965.0,10965.0,93550,2008-07-28
10673.0,10673.0,9507.0,9507.0,9790,2008-08-04
9507.0,10032.0,8982.0,9623.0,788460,2008-08-11
9215.0,10498.0,9215.0,9740.0,575040,2008-08-18
10207.0,11723.0,10207.0,11082.0,483800,2008-08-25
11607.0,12715.0,11082.0,12715.0,492970,2008-09-03
12131.0,12248.0,9973.0,9973.0,354190,2008-09-08
9507.0,10440.0,7815.0,8632.0,305310,2008-09-15
9040.0,9332.0,8049.0,8574.0,266640,2008-09-22
8224.0,8632.0,7582.0,8457.0,178290,2008-09-29
8399.0,8399.0,6824.0,6824.0,200510,2008-10-06
6707.0,6999.0,6182.0,6182.0,196440,2008-10-13
6182.0,6299.0,5716.0,5832.0,153100,2008-10-20
5541.0,5541.0,5074.0,5424.0,164080,2008-10-27
5249.0,5657.0,5074.0,5191.0,213040,2008-11-03
5366.0,5424.0,4958.0,5133.0,71070,2008-11-10
5074.0,5249.0,4666.0,4724.0,31130,2008-11-17
4958.0,5074.0,4433.0,4433.0,115310,2008-11-24
4316.0,4549.0,3616.0,3616.0,179090,2008-12-01
3558.0,3849.0,3499.0,3849.0,124210,2008-12-08
3733.0,3849.0,3324.0,3558.0,662390,2008-12-15
3733.0,3908.0,3733.0,3733.0,486030,2008-12-22
3674.0,3791.0,3616.0,3791.0,167870,2008-12-29
3791.0,3849.0,3791.0,3791.0,28360,2009-01-02
3791.0,4083.0,3674.0,3966.0,269130,2009-01-05
4024.0,4024.0,3791.0,3849.0,92390,2009-01-12
3674.0,3849.0,3674.0,3849.0,82100,2009-01-19
3733.0,3849.0,3383.0,3499.0,95630,2009-02-02
3558.0,3558.0,3033.0,3033.0,62950,2009-02-09
2916.0,3150.0,2625.0,2800.0,369340,2009-02-16
2858.0,2858.0,2566.0,2566.0,466140,2009-02-23
