open,high,low,close,volume,tradingDate
64363.0,64363.0,64363.0,64363.0,18000,2018-05-17
64363.0,64363.0,64363.0,64363.0,0,2018-05-18
64363.0,64363.0,64363.0,64363.0,0,2018-05-21
68848.0,68848.0,68848.0,68848.0,20,2018-05-22
66693.0,66693.0,64072.0,64247.0,4839580,2018-05-23
64538.0,66868.0,64130.0,66693.0,1937240,2018-05-24
66868.0,69839.0,66693.0,68441.0,1749720,2018-05-25
64655.0,68732.0,64655.0,68149.0,2944740,2018-05-28
68149.0,68266.0,65878.0,67567.0,884320,2018-05-29
67567.0,68149.0,65820.0,68149.0,2448260,2018-05-30
68149.0,68441.0,67043.0,67043.0,1178690,2018-05-31
67043.0,68441.0,66693.0,67858.0,814870,2018-06-01
67567.0,68674.0,67276.0,68674.0,1762630,2018-06-04
68674.0,69314.0,68149.0,68732.0,1229890,2018-06-05
68441.0,70421.0,68149.0,69897.0,712230,2018-06-06
71062.0,71062.0,65004.0,69897.0,1167210,2018-06-07
69897.0,70421.0,68441.0,69897.0,462940,2018-06-08
70363.0,70363.0,69314.0,69897.0,425790,2018-06-11
69897.0,69897.0,68149.0,68732.0,816310,2018-06-12
68732.0,68965.0,68499.0,68732.0,289590,2018-06-13
68732.0,69023.0,67742.0,68149.0,624230,2018-06-14
68557.0,68557.0,67858.0,67858.0,213150,2018-06-15
67858.0,68732.0,67567.0,67858.0,626280,2018-06-18
67858.0,67858.0,66810.0,66985.0,770730,2018-06-19
62383.0,67567.0,62383.0,66985.0,613980,2018-06-20
66985.0,67043.0,66402.0,66985.0,117280,2018-06-21
66985.0,66985.0,66402.0,66519.0,83230,2018-06-22
66519.0,67509.0,66519.0,67276.0,214260,2018-06-25
67276.0,67276.0,66460.0,66985.0,112440,2018-06-26
65528.0,66460.0,64072.0,64072.0,305740,2018-06-27
64072.0,65820.0,62907.0,64072.0,185920,2018-06-28
65820.0,65820.0,63198.0,65470.0,321730,2018-06-29
65528.0,65528.0,64072.0,64829.0,456190,2018-07-02
64829.0,64829.0,60344.0,60344.0,165430,2018-07-03
59471.0,64538.0,59471.0,64538.0,1358170,2018-07-04
64538.0,66985.0,64538.0,66402.0,1208630,2018-07-05
64946.0,66344.0,64946.0,65528.0,497040,2018-07-06
65528.0,66053.0,65528.0,65703.0,134390,2018-07-09
65645.0,65703.0,63198.0,64655.0,298180,2018-07-10
64072.0,64655.0,62907.0,63897.0,86370,2018-07-11
63897.0,64538.0,62907.0,64072.0,113470,2018-07-12
62499.0,64655.0,62499.0,63664.0,57420,2018-07-13
64363.0,64363.0,61742.0,61742.0,93750,2018-07-16
63490.0,64655.0,61742.0,61742.0,410540,2018-07-17
64072.0,64072.0,62325.0,62558.0,115930,2018-07-18
62907.0,62907.0,62034.0,62034.0,359780,2018-07-19
62325.0,62907.0,61801.0,62266.0,361710,2018-07-20
59995.0,63781.0,59995.0,62791.0,140470,2018-07-23
59995.0,62732.0,59995.0,62034.0,52950,2018-07-24
62325.0,62325.0,61393.0,62034.0,123900,2018-07-25
62034.0,62791.0,61742.0,61742.0,205970,2018-07-26
61742.0,62034.0,61160.0,61684.0,67370,2018-07-27
61742.0,64363.0,61160.0,64363.0,324540,2018-07-30
65237.0,65237.0,63373.0,64247.0,170450,2018-07-31
64247.0,64305.0,63198.0,63257.0,320670,2018-08-01
64014.0,64014.0,63257.0,63373.0,265210,2018-08-02
63606.0,63897.0,63198.0,63490.0,398200,2018-08-03
63490.0,63548.0,63373.0,63490.0,182880,2018-08-06
63490.0,63490.0,62325.0,62616.0,160500,2018-08-07
62616.0,63373.0,62616.0,62907.0,134310,2018-08-08
62907.0,63490.0,62907.0,63315.0,285670,2018-08-09
63490.0,63490.0,61742.0,62266.0,120470,2018-08-10
63140.0,63140.0,62266.0,62616.0,1088420,2018-08-13
62325.0,62907.0,62325.0,62791.0,406610,2018-08-14
62791.0,62849.0,62383.0,62791.0,436300,2018-08-15
62791.0,62849.0,62383.0,62791.0,726220,2018-08-16
66402.0,66402.0,63373.0,63373.0,1125570,2018-08-17
64888.0,64888.0,63373.0,63373.0,575880,2018-08-20
63373.0,64363.0,63373.0,64014.0,741280,2018-08-21
64014.0,64538.0,63839.0,64014.0,415780,2018-08-22
64072.0,65295.0,64072.0,65179.0,1371780,2018-08-23
65354.0,65761.0,64713.0,64946.0,1340480,2018-08-24
65179.0,65179.0,64829.0,64946.0,913670,2018-08-27
