open,high,low,close,volume,tradingDate
13993.0,13993.0,13993.0,14000.0,0,2016-09-22
16605.0,16605.0,16605.0,16600.0,100,2016-09-26
19067.0,25191.0,19067.0,25200.0,1050,2016-10-03
25191.0,32831.0,25191.0,29100.0,2300,2016-10-10
29042.0,32199.0,29042.0,32200.0,3100,2016-10-17
32199.0,32199.0,32199.0,32200.0,0,2016-10-24
27401.0,31568.0,19572.0,25600.0,8300,2016-10-31
25612.0,30936.0,25612.0,27700.0,5650,2016-11-07
27722.0,27780.0,24307.0,24500.0,1400,2016-11-14
25254.0,28411.0,25254.0,25600.0,4700,2016-11-21
25570.0,25570.0,24623.0,25600.0,2700,2016-11-28
25570.0,25570.0,19635.0,25000.0,1500,2016-12-05
25029.0,25029.0,25029.0,25000.0,0,2016-12-12
25029.0,25029.0,22097.0,22100.0,1200,2016-12-19
22097.0,22097.0,22097.0,22100.0,0,2016-12-26
22097.0,27780.0,22097.0,27800.0,200,2017-01-03
27780.0,36682.0,27780.0,32800.0,1000,2017-01-09
29674.0,29674.0,25254.0,25300.0,1000,2017-01-16
25254.0,25254.0,25254.0,25300.0,0,2017-01-23
25254.0,25254.0,25254.0,25300.0,0,2017-02-02
28095.0,31568.0,28095.0,31200.0,400,2017-02-06
31157.0,34725.0,31157.0,31600.0,300,2017-02-13
31568.0,32831.0,27148.0,31900.0,1100,2017-02-20
31568.0,32831.0,29674.0,31900.0,2800,2017-02-27
32199.0,36619.0,27843.0,36600.0,3800,2017-03-06
36619.0,36619.0,32199.0,32200.0,100,2017-03-13
32199.0,32199.0,32199.0,32200.0,3000,2017-03-20
32199.0,32199.0,28411.0,28400.0,100,2017-03-27
28411.0,28411.0,28411.0,28400.0,2000,2017-04-03
28411.0,32831.0,28411.0,32800.0,1028,2017-04-10
32831.0,32831.0,32831.0,32800.0,28,2017-04-17
31568.0,32831.0,29042.0,30300.0,4100,2017-04-24
30305.0,34725.0,30305.0,34700.0,100,2017-05-03
30305.0,34851.0,29547.0,34900.0,200,2017-05-08
34851.0,34851.0,29674.0,29700.0,300,2017-05-15
29674.0,29674.0,28411.0,29000.0,1000,2017-05-22
29042.0,29674.0,28411.0,29700.0,3600,2017-05-29
29042.0,29042.0,28411.0,28400.0,4200,2017-06-05
28411.0,28411.0,28411.0,28400.0,3500,2017-06-12
24181.0,24181.0,24181.0,24200.0,500,2017-06-19
27780.0,36429.0,27780.0,31600.0,6900,2017-06-26
28411.0,33146.0,28411.0,33100.0,1600,2017-07-03
31568.0,31568.0,28411.0,30200.0,2700,2017-07-10
31568.0,36303.0,31568.0,31600.0,703000,2017-07-17
31568.0,32883.0,31568.0,32900.0,51000,2017-07-24
32883.0,32883.0,32883.0,32900.0,0,2017-07-31
32883.0,32883.0,32883.0,32900.0,0,2017-08-07
32883.0,32883.0,29595.0,29600.0,2400,2017-08-14
29595.0,29595.0,29595.0,29600.0,0,2017-08-21
30252.0,34790.0,30252.0,30900.0,9400,2017-08-28
30910.0,32225.0,30910.0,32200.0,13800,2017-09-05
31568.0,34001.0,29595.0,34000.0,6300,2017-09-11
34001.0,39065.0,28279.0,28400.0,6800,2017-09-18
24334.0,29266.0,24136.0,28900.0,7000,2017-09-25
28279.0,29595.0,27622.0,28000.0,4400,2017-10-02
27951.0,31568.0,23676.0,24200.0,14500,2017-10-09
27622.0,27622.0,20716.0,22200.0,6400,2017-10-16
22163.0,25320.0,20453.0,24000.0,5600,2017-10-23
21045.0,24662.0,18415.0,20000.0,5500,2017-10-30
22887.0,29595.0,19533.0,25000.0,16300,2017-11-06
21571.0,28806.0,21571.0,25400.0,4300,2017-11-13
23479.0,23479.0,18743.0,18900.0,2900,2017-11-20
17428.0,21703.0,16113.0,17400.0,5100,2017-11-27
17362.0,19942.0,14782.0,16000.0,3100,2017-12-04
16037.0,24265.0,16037.0,22700.0,2600,2017-12-11
22731.0,22731.0,21615.0,21600.0,100,2017-12-18
23707.0,25102.0,22382.0,24400.0,1400,2017-12-25
20918.0,25102.0,20918.0,22700.0,5400,2018-01-02
25799.0,25799.0,20221.0,24400.0,9600,2018-01-08
25799.0,28518.0,23080.0,27200.0,12100,2018-01-15
24474.0,28588.0,24474.0,24600.0,9800,2018-01-22
23358.0,28100.0,23358.0,26800.0,10500,2018-01-29
24056.0,24125.0,17501.0,17500.0,1300,2018-02-05
17501.0,17501.0,17501.0,17500.0,0,2018-02-12
17501.0,17501.0,17501.0,17500.0,0,2018-02-21
17501.0,26496.0,17501.0,25800.0,400,2018-02-26
23149.0,27891.0,23149.0,25300.0,3314,2018-03-05
25311.0,28588.0,23916.0,25600.0,4000,2018-03-12
25450.0,28588.0,23777.0,25500.0,2300,2018-03-19
25450.0,27542.0,24404.0,24400.0,1200,2018-03-26
20918.0,27403.0,20779.0,21800.0,5900,2018-04-02
25032.0,26148.0,21755.0,23800.0,10200,2018-04-09
23777.0,27193.0,20221.0,21300.0,3800,2018-04-16
21267.0,24404.0,18547.0,19100.0,3600,2018-04-23
21824.0,21824.0,15410.0,19500.0,6500,2018-05-02
22243.0,22313.0,19593.0,19700.0,12700,2018-05-07
19245.0,20918.0,18896.0,20700.0,3000,2018-05-14
20709.0,20709.0,19384.0,19400.0,3920,2018-05-21
21615.0,24404.0,20918.0,23700.0,6180,2018-05-28
25102.0,25799.0,21615.0,23900.0,4230,2018-06-04
25799.0,27193.0,23219.0,23200.0,2450,2018-06-11
19942.0,20221.0,17501.0,17500.0,1600,2018-06-18
