open,high,low,close,volume,tradingDate
2496.0,2601.0,2351.0,2519.0,1412700,2010-03-30
2531.0,3199.0,2438.0,3083.0,14959700,2010-04-01
3135.0,3498.0,2757.0,3422.0,16961200,2010-05-04
3324.0,4065.0,3095.0,3618.0,32332400,2010-06-01
3585.0,3912.0,3204.0,3247.0,18047900,2010-07-01
3269.0,3324.0,2245.0,2572.0,13870600,2010-08-02
2670.0,2877.0,2289.0,2310.0,21502300,2010-09-01
2321.0,2376.0,1907.0,2060.0,17430000,2010-10-01
2081.0,2180.0,1569.0,1918.0,20593700,2010-11-01
2005.0,2910.0,1853.0,2605.0,58759600,2010-12-01
2615.0,2681.0,2060.0,2169.0,32355300,2011-01-04
2190.0,2299.0,1678.0,1776.0,26206900,2011-02-08
1744.0,1972.0,1417.0,1656.0,61686300,2011-03-01
1646.0,1700.0,1460.0,1580.0,35143400,2011-04-01
1580.0,1646.0,1101.0,1112.0,41631600,2011-05-04
1112.0,1591.0,1101.0,1177.0,71805900,2011-06-01
1177.0,1253.0,1057.0,1079.0,31573800,2011-07-01
1068.0,1449.0,926.0,1406.0,78578900,2011-08-01
1406.0,1547.0,1231.0,1253.0,84771500,2011-09-01
1221.0,1308.0,1046.0,1253.0,51720800,2011-10-03
1264.0,1286.0,1013.0,1079.0,57721700,2011-11-01
1079.0,1221.0,676.0,741.0,63695200,2011-12-01
763.0,806.0,621.0,796.0,34569300,2012-01-03
796.0,1068.0,763.0,970.0,94967100,2012-02-01
992.0,1395.0,970.0,1122.0,124005300,2012-03-01
1122.0,1526.0,1112.0,1406.0,104548800,2012-04-03
1384.0,1624.0,1188.0,1253.0,96455400,2012-05-02
1253.0,1373.0,1057.0,1112.0,71746000,2012-06-01
1133.0,1286.0,981.0,1188.0,95345700,2012-07-02
1177.0,1286.0,970.0,1079.0,89890700,2012-08-01
1079.0,1101.0,937.0,959.0,47721700,2012-09-04
959.0,1057.0,894.0,926.0,44825000,2012-10-01
926.0,937.0,806.0,861.0,35996500,2012-11-01
872.0,1046.0,850.0,1024.0,46361500,2012-12-03
1035.0,1177.0,1013.0,1090.0,109899600,2013-01-02
1090.0,1253.0,1003.0,1046.0,58085200,2013-02-01
1046.0,1079.0,948.0,970.0,45780900,2013-03-01
970.0,1035.0,926.0,937.0,22494600,2013-04-01
937.0,1079.0,850.0,1024.0,29025600,2013-05-02
1024.0,1068.0,948.0,992.0,26345600,2013-06-03
981.0,1035.0,926.0,937.0,18583387,2013-07-01
937.0,1000.0,895.0,905.0,7491061,2013-08-01
905.0,923.0,792.0,915.0,6864683,2013-09-03
915.0,1042.0,898.0,992.0,25177754,2013-10-01
1003.0,1137.0,992.0,1122.0,32929707,2013-11-01
1112.0,1180.0,1092.0,1133.0,19916209,2013-12-02
1133.0,1518.0,1119.0,1493.0,46071111,2014-01-02
1493.0,1822.0,1398.0,1678.0,39863421,2014-02-06
1667.0,2026.0,1543.0,1972.0,49857430,2014-03-03
1972.0,2161.0,1637.0,1733.0,45218963,2014-04-01
1722.0,1792.0,1261.0,1667.0,42276579,2014-05-05
1667.0,1919.0,1500.0,1881.0,24874893,2014-06-02
1893.0,1943.0,1641.0,1712.0,23315165,2014-07-01
1712.0,1964.0,1570.0,1949.0,19144258,2014-08-01
1949.0,2067.0,1709.0,1836.0,22662931,2014-09-03
1859.0,1959.0,1688.0,1848.0,21219875,2014-10-01
1859.0,1939.0,1702.0,1772.0,16344549,2014-11-03
1772.0,1848.0,1527.0,1679.0,10099197,2014-12-01
1706.0,1777.0,1572.0,1652.0,11362642,2015-01-05
1639.0,1679.0,1381.0,1612.0,4073472,2015-02-02
1626.0,1652.0,1395.0,1439.0,9645419,2015-03-02
1439.0,1517.0,1368.0,1412.0,7326709,2015-04-01
1426.0,1653.0,1224.0,1599.0,12268134,2015-05-04
1626.0,2088.0,1585.0,1946.0,41415232,2015-06-01
1960.0,2259.0,1842.0,2071.0,45388626,2015-07-01
2071.0,2179.0,1623.0,2001.0,34630341,2015-08-03
2015.0,2016.0,1723.0,1751.0,23778523,2015-09-01
1751.0,1949.0,1600.0,1918.0,23309120,2015-10-01
1918.0,1972.0,1780.0,1793.0,9199178,2015-11-02
1807.0,1811.0,1490.0,1682.0,11064560,2015-12-01
1779.0,1782.0,1243.0,1598.0,16476665,2016-01-04
1584.0,1702.0,1501.0,1640.0,11610100,2016-02-01
1640.0,1765.0,1508.0,1543.0,21308577,2016-03-01
1557.0,1683.0,1523.0,1640.0,16633880,2016-04-01
1626.0,1675.0,1563.0,1640.0,14451807,2016-05-04
1626.0,1781.0,1494.0,1626.0,20395804,2016-06-01
1626.0,1983.0,1611.0,1862.0,21804606,2016-07-01
1849.0,1909.0,1714.0,1822.0,7620865,2016-08-01
1822.0,2053.0,1793.0,2024.0,7745481,2016-09-01
2024.0,2097.0,1822.0,1822.0,6556651,2016-10-03
1822.0,1836.0,1648.0,1677.0,4541620,2016-11-01
1677.0,1909.0,1663.0,1894.0,7676406,2016-12-01
1894.0,1952.0,1735.0,1779.0,4894598,2017-01-03
1836.0,1952.0,1735.0,1851.0,5198701,2017-02-02
1836.0,2198.0,1807.0,2169.0,12232577,2017-03-01
2169.0,2342.0,2053.0,2198.0,7986310,2017-04-03
2198.0,3051.0,2198.0,2718.0,20002492,2017-05-03
2704.0,3225.0,2662.0,3123.0,13046266,2017-06-01
3152.0,3441.0,2791.0,3282.0,11148218,2017-07-03
3268.0,3702.0,2921.0,3000.0,13291934,2017-08-01
2993.0,3246.0,2993.0,3087.0,13805890,2017-09-01
3087.0,3123.0,2805.0,2820.0,8110020,2017-10-02
2841.0,3427.0,2632.0,3398.0,16537490,2017-11-01
3434.0,3890.0,2921.0,3817.0,28210300,2017-12-01
3817.0,4670.0,3716.0,4338.0,31031150,2018-01-02
4338.0,5192.0,3629.0,5098.0,29152340,2018-02-01
4985.0,5604.0,4620.0,5445.0,42130950,2018-03-01
5454.0,6447.0,4592.0,5098.0,38069310,2018-04-02
5154.0,5379.0,3419.0,3730.0,44858150,2018-05-02
3730.0,4391.0,3264.0,3371.0,40296500,2018-06-01
3264.0,3691.0,2895.0,3517.0,25912650,2018-07-02
3526.0,4410.0,3400.0,4313.0,30778230,2018-08-01
4313.0,4663.0,4070.0,4449.0,42944240,2018-09-04
4449.0,4546.0,3206.0,3546.0,36240990,2018-10-01
3565.0,3779.0,3410.0,3691.0,20887670,2018-11-01
3769.0,3895.0,3109.0,3186.0,14838360,2018-12-03
