open,high,low,close,volume,tradingDate
1964.0,1964.0,1964.0,1964.0,0,2016-03-22
1964.0,1964.0,1964.0,1964.0,0,2016-03-23
1964.0,1964.0,1964.0,1964.0,0,2016-03-24
1964.0,1964.0,1964.0,1964.0,0,2016-03-25
1964.0,1964.0,1964.0,1964.0,0,2016-03-28
1964.0,1964.0,1964.0,1964.0,0,2016-03-29
1964.0,1964.0,1964.0,1964.0,0,2016-03-30
1964.0,1964.0,1964.0,1964.0,0,2016-03-31
1964.0,1964.0,1964.0,1964.0,0,2016-04-01
1964.0,1964.0,1964.0,1964.0,0,2016-04-04
1964.0,1964.0,1964.0,1964.0,0,2016-04-05
1737.0,1964.0,1737.0,1964.0,10100,2016-04-06
1961.0,1961.0,1961.0,1961.0,0,2016-04-07
1961.0,1961.0,1961.0,1961.0,0,2016-04-08
1961.0,1961.0,1961.0,1961.0,0,2016-04-11
1961.0,1961.0,1961.0,1961.0,0,2016-04-12
1961.0,1961.0,1961.0,1961.0,0,2016-04-13
1961.0,1961.0,1961.0,1961.0,0,2016-04-14
1961.0,1961.0,1961.0,1961.0,0,2016-04-15
1737.0,1737.0,1737.0,1737.0,15000,2016-04-19
1964.0,1964.0,1964.0,1964.0,100,2016-04-20
1964.0,1964.0,1964.0,1964.0,0,2016-04-21
2190.0,2190.0,1964.0,2115.0,7200,2016-04-22
2341.0,2341.0,1813.0,1813.0,12500,2016-04-25
2039.0,2039.0,2039.0,2039.0,100,2016-04-26
2039.0,2039.0,2039.0,2039.0,0,2016-04-27
1813.0,2266.0,1813.0,2266.0,200,2016-04-28
2266.0,2266.0,2266.0,2266.0,200,2016-04-29
2266.0,2266.0,2266.0,2266.0,0,2016-05-04
1964.0,2266.0,1964.0,2266.0,200,2016-05-05
2115.0,2115.0,2115.0,2115.0,0,2016-05-06
2115.0,2115.0,2115.0,2115.0,0,2016-05-09
2266.0,2266.0,1813.0,1813.0,200,2016-05-10
2039.0,2039.0,2039.0,2039.0,0,2016-05-11
2039.0,2039.0,2039.0,2039.0,0,2016-05-12
1964.0,1964.0,1964.0,1964.0,100,2016-05-13
1964.0,1964.0,1964.0,1964.0,0,2016-05-16
1964.0,1964.0,1964.0,1964.0,0,2016-05-17
1737.0,2039.0,1737.0,2039.0,400,2016-05-18
1888.0,2115.0,1888.0,2115.0,1700,2016-05-19
2061.0,2061.0,2061.0,2061.0,0,2016-05-20
2061.0,2061.0,2061.0,2061.0,0,2016-05-23
2061.0,2061.0,2061.0,2061.0,0,2016-05-24
2115.0,2115.0,2115.0,2115.0,100,2016-05-25
2115.0,2115.0,2115.0,2115.0,0,2016-05-26
2115.0,2115.0,2115.0,2115.0,0,2016-05-27
2115.0,2115.0,2115.0,2115.0,0,2016-05-30
1813.0,1813.0,1813.0,1813.0,700,2016-05-31
1662.0,1662.0,1662.0,1662.0,100,2016-06-01
1888.0,1888.0,1888.0,1888.0,100,2016-06-02
1964.0,1964.0,1964.0,1964.0,100,2016-06-03
1964.0,1964.0,1964.0,1964.0,0,2016-06-06
1964.0,1964.0,1964.0,1964.0,0,2016-06-07
1737.0,1737.0,1737.0,1737.0,100,2016-06-08
1964.0,1964.0,1964.0,1964.0,100,2016-06-09
1737.0,1737.0,1737.0,1737.0,300,2016-06-10
1964.0,1964.0,1964.0,1964.0,100,2016-06-13
2190.0,2190.0,2190.0,2190.0,100,2016-06-14
2190.0,2190.0,2190.0,2190.0,0,2016-06-15
2417.0,2417.0,2417.0,2417.0,100,2016-06-16
2417.0,2417.0,2417.0,2417.0,0,2016-06-17
2115.0,2115.0,2115.0,2115.0,100,2016-06-20
1813.0,1813.0,1813.0,1813.0,500,2016-06-21
1813.0,1813.0,1813.0,1813.0,0,2016-06-22
1964.0,1964.0,1964.0,1964.0,200,2016-06-23
1737.0,1737.0,1737.0,1737.0,500,2016-06-24
1888.0,1888.0,1888.0,1888.0,100,2016-06-27
2039.0,2039.0,2039.0,2039.0,100,2016-06-28
1737.0,1737.0,1737.0,1737.0,3000,2016-06-29
1662.0,1888.0,1662.0,1888.0,200,2016-06-30
1964.0,1964.0,1964.0,1964.0,100,2016-07-01
1813.0,1813.0,1813.0,1813.0,1000,2016-07-04
1662.0,1964.0,1662.0,1964.0,200,2016-07-05
1964.0,1964.0,1662.0,1662.0,500,2016-07-06
1662.0,1888.0,1662.0,1888.0,200,2016-07-07
1775.0,1775.0,1775.0,1775.0,0,2016-07-08
1888.0,1888.0,1888.0,1888.0,100,2016-07-11
1964.0,1964.0,1964.0,1964.0,100,2016-07-12
1964.0,1964.0,1964.0,1964.0,0,2016-07-13
1964.0,1964.0,1964.0,1964.0,0,2016-07-14
1964.0,1964.0,1964.0,1964.0,0,2016-07-15
2190.0,2190.0,1737.0,1737.0,200,2016-07-18
1964.0,1964.0,1964.0,1964.0,0,2016-07-19
1964.0,1964.0,1964.0,1964.0,0,2016-07-20
1888.0,1888.0,1888.0,1888.0,300,2016-07-21
1888.0,1888.0,1888.0,1888.0,0,2016-07-22
1888.0,1888.0,1888.0,1888.0,0,2016-07-25
1888.0,1888.0,1888.0,1888.0,0,2016-07-26
1888.0,1888.0,1888.0,1888.0,0,2016-07-27
1888.0,1888.0,1888.0,1888.0,0,2016-07-28
1888.0,1888.0,1888.0,1888.0,0,2016-07-29
1888.0,1888.0,1888.0,1888.0,0,2016-08-01
1888.0,1888.0,1888.0,1888.0,0,2016-08-02
1888.0,1888.0,1888.0,1888.0,0,2016-08-03
1888.0,1888.0,1888.0,1888.0,0,2016-08-04
1737.0,1737.0,1737.0,1737.0,100,2016-08-05
1737.0,1737.0,1737.0,1737.0,0,2016-08-08
1737.0,1737.0,1737.0,1737.0,0,2016-08-09
1737.0,1737.0,1737.0,1737.0,0,2016-08-10
1737.0,1737.0,1737.0,1737.0,0,2016-08-11
1737.0,1737.0,1737.0,1737.0,0,2016-08-12
1737.0,1737.0,1737.0,1737.0,0,2016-08-15
1737.0,1737.0,1737.0,1737.0,0,2016-08-16
1737.0,1737.0,1737.0,1737.0,0,2016-08-17
1737.0,1737.0,1737.0,1737.0,0,2016-08-18
1737.0,1737.0,1737.0,1737.0,0,2016-08-19
1737.0,1737.0,1737.0,1737.0,0,2016-08-22
1737.0,1737.0,1737.0,1737.0,0,2016-08-23
1737.0,1737.0,1737.0,1737.0,0,2016-08-24
1737.0,1737.0,1737.0,1737.0,0,2016-08-25
1737.0,1737.0,1737.0,1737.0,0,2016-08-26
1737.0,1737.0,1737.0,1737.0,0,2016-08-29
1737.0,1737.0,1737.0,1737.0,0,2016-08-30
1737.0,1737.0,1737.0,1737.0,0,2016-08-31
1737.0,1737.0,1737.0,1737.0,0,2016-09-01
1737.0,1737.0,1737.0,1737.0,0,2016-09-05
1737.0,1737.0,1737.0,1737.0,0,2016-09-06
1737.0,1737.0,1737.0,1737.0,0,2016-09-07
1737.0,1737.0,1737.0,1737.0,0,2016-09-08
1737.0,1737.0,1737.0,1737.0,0,2016-09-09
1737.0,1737.0,1737.0,1737.0,0,2016-09-12
1510.0,1510.0,1510.0,1510.0,100,2016-09-13
1662.0,1662.0,1662.0,1662.0,500,2016-09-14
1435.0,1435.0,1435.0,1435.0,100,2016-09-15
1284.0,1284.0,1284.0,1284.0,100,2016-09-16
1284.0,1284.0,1284.0,1284.0,0,2016-09-19
1284.0,1284.0,1284.0,1284.0,0,2016-09-20
1284.0,1284.0,1284.0,1284.0,0,2016-09-21
1284.0,1284.0,1284.0,1284.0,0,2016-09-22
1133.0,1133.0,1133.0,1133.0,100,2016-09-23
1133.0,1133.0,1133.0,1133.0,0,2016-09-26
1284.0,1284.0,1284.0,1284.0,100,2016-09-27
1435.0,1435.0,1435.0,1435.0,100,2016-09-28
1586.0,1586.0,1586.0,1586.0,100,2016-09-29
1586.0,1586.0,1586.0,1586.0,0,2016-09-30
1359.0,1359.0,1359.0,1359.0,100,2016-10-03
1510.0,1510.0,1510.0,1510.0,100,2016-10-04
1737.0,1737.0,1737.0,1737.0,100,2016-10-05
1813.0,1813.0,1813.0,1813.0,100,2016-10-06
1586.0,1586.0,1586.0,1586.0,100,2016-10-07
1586.0,1586.0,1586.0,1586.0,0,2016-10-10
1813.0,1813.0,1813.0,1813.0,100,2016-10-11
1813.0,1813.0,1813.0,1813.0,0,2016-10-12
2039.0,2039.0,2039.0,2039.0,100,2016-10-13
2039.0,2039.0,2039.0,2039.0,0,2016-10-14
2039.0,2039.0,2039.0,2039.0,0,2016-10-17
2039.0,2039.0,2039.0,2039.0,0,2016-10-18
2039.0,2039.0,2039.0,2039.0,0,2016-10-19
2039.0,2039.0,2039.0,2039.0,0,2016-10-20
2039.0,2039.0,2039.0,2039.0,0,2016-10-21
2039.0,2039.0,2039.0,2039.0,0,2016-10-24
2039.0,2039.0,2039.0,2039.0,0,2016-10-25
2039.0,2039.0,2039.0,2039.0,0,2016-10-26
2039.0,2039.0,2039.0,2039.0,0,2016-10-27
2341.0,2341.0,2341.0,2341.0,100,2016-10-28
2568.0,2568.0,2568.0,2568.0,100,2016-10-31
2568.0,2568.0,2568.0,2568.0,0,2016-11-01
2568.0,2568.0,2568.0,2568.0,0,2016-11-02
2870.0,2870.0,2870.0,2870.0,100,2016-11-03
2870.0,2870.0,2870.0,2870.0,0,2016-11-04
2870.0,2870.0,2870.0,2870.0,0,2016-11-07
2870.0,2870.0,2870.0,2870.0,0,2016-11-08
2870.0,2870.0,2870.0,2870.0,0,2016-11-09
2870.0,2870.0,2870.0,2870.0,0,2016-11-10
2870.0,2870.0,2870.0,2870.0,0,2016-11-11
2870.0,3248.0,2870.0,3248.0,200,2016-11-14
2643.0,2643.0,2643.0,2643.0,100,2016-11-15
3021.0,3021.0,3021.0,3021.0,100,2016-11-16
3021.0,3021.0,3021.0,3021.0,0,2016-11-17
3021.0,3021.0,3021.0,3021.0,0,2016-11-18
