open,high,low,close,volume,tradingDate
6012.0,6012.0,5631.0,6012.0,1440,2015-06-29
6012.0,6203.0,6012.0,6203.0,1150,2015-06-30
5917.0,6156.0,5774.0,6156.0,2480,2015-07-01
6156.0,6156.0,6156.0,6156.0,0,2015-07-02
6203.0,6203.0,6203.0,6203.0,240,2015-07-03
6156.0,6203.0,6156.0,6203.0,2070,2015-07-06
5869.0,6108.0,5869.0,6108.0,820,2015-07-07
6156.0,6156.0,6156.0,6156.0,20,2015-07-08
5774.0,6108.0,5774.0,6108.0,300,2015-07-09
6299.0,6442.0,6299.0,6442.0,350,2015-07-10
6203.0,6776.0,6203.0,6776.0,3080,2015-07-13
6442.0,7158.0,6346.0,7062.0,5600,2015-07-14
7062.0,7062.0,7062.0,7062.0,0,2015-07-15
6585.0,6919.0,6585.0,6919.0,3010,2015-07-16
6919.0,6919.0,6919.0,6919.0,170,2015-07-17
6919.0,6919.0,6919.0,6919.0,0,2015-07-20
6442.0,6681.0,6442.0,6681.0,510,2015-07-21
6442.0,6442.0,6442.0,6442.0,330,2015-07-22
6585.0,6585.0,6346.0,6585.0,880,2015-07-23
6346.0,6346.0,6203.0,6346.0,990,2015-07-24
6776.0,6776.0,6776.0,6776.0,10,2015-07-27
6346.0,6681.0,6346.0,6681.0,90,2015-07-28
6633.0,6633.0,6633.0,6633.0,520,2015-07-29
6442.0,6681.0,6442.0,6681.0,2340,2015-07-30
6251.0,6442.0,6251.0,6251.0,1020,2015-07-31
6442.0,6442.0,5869.0,6442.0,1020,2015-08-03
6442.0,6442.0,6442.0,6442.0,0,2015-08-04
6394.0,6871.0,6394.0,6871.0,2850,2015-08-05
6871.0,6871.0,6871.0,6871.0,0,2015-08-06
6442.0,6585.0,6442.0,6585.0,2060,2015-08-07
6156.0,6442.0,6156.0,6442.0,320,2015-08-10
6442.0,6442.0,6442.0,6442.0,0,2015-08-11
6060.0,6251.0,6012.0,6251.0,900,2015-08-12
6442.0,6442.0,5822.0,6346.0,7250,2015-08-13
5917.0,6394.0,5917.0,6203.0,440,2015-08-14
6203.0,6490.0,5774.0,5774.0,310,2015-08-17
5631.0,5774.0,5583.0,5774.0,2740,2015-08-18
5917.0,5917.0,5583.0,5774.0,570,2015-08-19
5917.0,5917.0,5774.0,5869.0,450,2015-08-20
5583.0,5965.0,5488.0,5917.0,2350,2015-08-21
5917.0,6299.0,5917.0,6108.0,410,2015-08-24
6251.0,6251.0,6251.0,6251.0,540,2015-08-25
5965.0,6012.0,5822.0,5965.0,2120,2015-08-26
5726.0,6012.0,5583.0,5583.0,4450,2015-08-27
5822.0,5822.0,5297.0,5774.0,1140,2015-08-28
6012.0,6012.0,6012.0,6012.0,150,2015-08-31
5631.0,5917.0,5631.0,5917.0,980,2015-09-01
5869.0,6108.0,5869.0,5869.0,3480,2015-09-03
5678.0,5822.0,5678.0,5822.0,4200,2015-09-04
5822.0,5822.0,5822.0,5822.0,160,2015-09-07
5774.0,5869.0,5774.0,5869.0,540,2015-09-08
5869.0,5869.0,5869.0,5869.0,0,2015-09-09
6060.0,6060.0,6060.0,6060.0,80,2015-09-10
5678.0,6060.0,5678.0,6060.0,400,2015-09-11
5726.0,5917.0,5726.0,5917.0,60,2015-09-14
5726.0,6012.0,5726.0,6012.0,170,2015-09-15
6012.0,6012.0,6012.0,6012.0,0,2015-09-16
6012.0,6012.0,6012.0,6012.0,70,2015-09-17
5917.0,6203.0,5917.0,5917.0,280,2015-09-18
5822.0,6012.0,5535.0,5726.0,2870,2015-09-21
5917.0,5917.0,5440.0,5822.0,1040,2015-09-22
5869.0,5869.0,5440.0,5822.0,1140,2015-09-23
5440.0,5917.0,5440.0,5917.0,2830,2015-09-24
5535.0,5774.0,5535.0,5774.0,320,2015-09-25
5678.0,6060.0,5488.0,6060.0,3210,2015-09-28
5917.0,6299.0,5726.0,5726.0,690,2015-09-29
6060.0,6060.0,6060.0,6060.0,320,2015-09-30
6012.0,6012.0,6012.0,6012.0,370,2015-10-01
6012.0,6012.0,6012.0,6012.0,0,2015-10-02
5917.0,6012.0,5917.0,6012.0,880,2015-10-05
6108.0,6203.0,5917.0,5917.0,780,2015-10-06
5535.0,6060.0,5535.0,6060.0,2040,2015-10-07
5965.0,6203.0,5965.0,6203.0,420,2015-10-08
6203.0,6203.0,6203.0,6203.0,0,2015-10-09
5774.0,6203.0,5774.0,5774.0,2610,2015-10-12
6012.0,6156.0,6012.0,6156.0,210,2015-10-13
6156.0,6585.0,6156.0,6585.0,140,2015-10-14
6156.0,6776.0,6156.0,6537.0,2610,2015-10-15
6537.0,6728.0,6108.0,6442.0,1050,2015-10-16
6442.0,6537.0,6442.0,6537.0,100,2015-10-19
6442.0,6490.0,6442.0,6490.0,900,2015-10-20
6203.0,6442.0,6203.0,6442.0,15020,2015-10-21
6442.0,6442.0,6442.0,6442.0,220,2015-10-22
6394.0,6681.0,6012.0,6633.0,3990,2015-10-23
6681.0,7062.0,6203.0,6871.0,6210,2015-10-26
6871.0,6871.0,6871.0,6871.0,0,2015-10-27
6633.0,7158.0,6394.0,6919.0,4660,2015-10-28
6681.0,6681.0,6681.0,6681.0,530,2015-10-29
6681.0,6681.0,6681.0,6681.0,700,2015-10-30
6681.0,7062.0,6681.0,7062.0,270,2015-11-02
7062.0,7539.0,6585.0,6585.0,2870,2015-11-03
6585.0,6585.0,6585.0,6585.0,0,2015-11-04
6585.0,6585.0,6585.0,6585.0,120,2015-11-05
6585.0,6585.0,6585.0,6585.0,600,2015-11-06
6537.0,6537.0,6537.0,6537.0,240,2015-11-09
6537.0,6537.0,6537.0,6537.0,110,2015-11-10
6537.0,6537.0,6537.0,6537.0,0,2015-11-11
6537.0,6537.0,6537.0,6537.0,160,2015-11-12
6108.0,6442.0,6108.0,6442.0,420,2015-11-13
6442.0,6442.0,6442.0,6442.0,0,2015-11-16
6442.0,6442.0,6442.0,6442.0,60,2015-11-17
6442.0,6442.0,6442.0,6442.0,230,2015-11-18
6442.0,6442.0,6442.0,6442.0,320,2015-11-19
6442.0,6442.0,6442.0,6442.0,220,2015-11-20
6442.0,6442.0,6442.0,6442.0,210,2015-11-23
6012.0,6394.0,6012.0,6346.0,880,2015-11-24
6394.0,6394.0,5917.0,5917.0,1050,2015-11-25
6299.0,6299.0,6203.0,6251.0,1140,2015-11-26
6251.0,6394.0,5822.0,6299.0,6720,2015-11-27
5965.0,6251.0,5869.0,6156.0,440,2015-11-30
5726.0,6156.0,5726.0,6060.0,830,2015-12-01
5774.0,6156.0,5774.0,6156.0,1080,2015-12-02
6108.0,6346.0,6108.0,6346.0,1780,2015-12-03
6299.0,6585.0,5917.0,6251.0,1820,2015-12-04
6299.0,6299.0,6203.0,6299.0,1030,2015-12-07
5869.0,6156.0,5869.0,5869.0,3210,2015-12-08
6108.0,6108.0,6108.0,6108.0,10,2015-12-09
6156.0,6251.0,6156.0,6251.0,110,2015-12-10
6251.0,6251.0,6251.0,6251.0,0,2015-12-11
5822.0,6156.0,5822.0,6156.0,280,2015-12-14
5726.0,6060.0,5726.0,6060.0,2460,2015-12-15
6060.0,6251.0,5678.0,6060.0,3730,2015-12-16
6060.0,6060.0,6060.0,6060.0,0,2015-12-17
5678.0,6012.0,5678.0,6012.0,720,2015-12-18
6012.0,6012.0,5631.0,5917.0,1440,2015-12-21
5917.0,5917.0,5917.0,5917.0,450,2015-12-22
5535.0,5917.0,5535.0,5917.0,2110,2015-12-23
5917.0,6203.0,5917.0,6203.0,1790,2015-12-24
6203.0,6203.0,6203.0,6203.0,100,2015-12-25
5774.0,5774.0,5774.0,5774.0,10,2015-12-28
5869.0,6108.0,5869.0,6108.0,1540,2015-12-29
5726.0,6012.0,5726.0,6012.0,850,2015-12-30
6012.0,6346.0,6012.0,6203.0,3860,2015-12-31
5822.0,5822.0,5774.0,5822.0,570,2016-01-04
5726.0,6108.0,5726.0,6108.0,1850,2016-01-05
6108.0,6442.0,6108.0,6442.0,660,2016-01-06
6012.0,6251.0,6012.0,6251.0,280,2016-01-07
6251.0,6251.0,6251.0,6251.0,120,2016-01-08
6251.0,6251.0,5822.0,5822.0,270,2016-01-11
6156.0,6156.0,6156.0,6156.0,20,2016-01-12
6156.0,6346.0,6156.0,6346.0,270,2016-01-13
6346.0,6346.0,6346.0,6346.0,210,2016-01-14
6346.0,6346.0,6346.0,6346.0,0,2016-01-15
5917.0,6251.0,5917.0,6251.0,320,2016-01-18
6251.0,6251.0,6251.0,6251.0,0,2016-01-19
6203.0,6346.0,6203.0,6346.0,340,2016-01-20
6346.0,6346.0,6346.0,6346.0,220,2016-01-21
6346.0,6346.0,6346.0,6346.0,220,2016-01-22
6346.0,6346.0,6346.0,6346.0,50,2016-01-25
6346.0,6346.0,6346.0,6346.0,0,2016-01-26
6346.0,6346.0,6346.0,6346.0,210,2016-01-27
6346.0,6346.0,6346.0,6346.0,0,2016-01-28
6346.0,6346.0,6346.0,6346.0,0,2016-01-29
6346.0,6346.0,6346.0,6346.0,50,2016-02-01
6346.0,6346.0,6346.0,6346.0,0,2016-02-02
6299.0,6681.0,5917.0,5917.0,2260,2016-02-03
6299.0,6299.0,6299.0,6299.0,30,2016-02-04
6346.0,6346.0,6346.0,6346.0,100,2016-02-05
6346.0,6346.0,6346.0,6346.0,110,2016-02-15
6346.0,6346.0,6346.0,6346.0,120,2016-02-16
5917.0,6346.0,5917.0,6346.0,1790,2016-02-17
5917.0,6251.0,5917.0,6251.0,1040,2016-02-18
6346.0,6346.0,6346.0,6346.0,240,2016-02-19
6346.0,6346.0,6346.0,6346.0,260,2016-02-22
5917.0,5917.0,5917.0,5917.0,400,2016-02-23
6156.0,6156.0,6156.0,6156.0,20,2016-02-24
6156.0,6156.0,6156.0,6156.0,0,2016-02-25
6156.0,6156.0,6156.0,6156.0,70,2016-02-26
6156.0,6346.0,6156.0,6346.0,1850,2016-02-29
5917.0,6203.0,5917.0,6156.0,1790,2016-03-01
6156.0,6156.0,6156.0,6156.0,0,2016-03-02
5726.0,6251.0,5726.0,6251.0,3560,2016-03-03
5822.0,6299.0,5822.0,5822.0,2920,2016-03-04
6060.0,6203.0,6060.0,6203.0,840,2016-03-07
6108.0,6156.0,6108.0,6156.0,110,2016-03-08
5965.0,6156.0,5917.0,6108.0,2340,2016-03-09
6156.0,6251.0,5726.0,6203.0,6050,2016-03-10
6060.0,6633.0,5774.0,6633.0,17310,2016-03-11
6203.0,6919.0,6203.0,6633.0,230,2016-03-14
6203.0,6394.0,6203.0,6203.0,1400,2016-03-15
5822.0,6108.0,5774.0,5965.0,6490,2016-03-16
6156.0,6156.0,5726.0,5965.0,6490,2016-03-17
5965.0,5965.0,5726.0,5917.0,5290,2016-03-18
5869.0,5917.0,5678.0,5869.0,2740,2016-03-21
5583.0,6012.0,5583.0,5965.0,4270,2016-03-22
5869.0,5965.0,5869.0,5965.0,370,2016-03-23
5965.0,6203.0,5965.0,6203.0,890,2016-03-24
5917.0,6108.0,5917.0,6108.0,3810,2016-03-25
6108.0,6108.0,6108.0,6108.0,0,2016-03-28
5869.0,6108.0,5869.0,6108.0,3480,2016-03-29
6108.0,6346.0,5917.0,5917.0,760,2016-03-30
5917.0,6108.0,5917.0,6108.0,800,2016-03-31
6203.0,6299.0,5822.0,6012.0,70,2016-04-01
6012.0,6012.0,5726.0,5965.0,1320,2016-04-04
5965.0,5965.0,5965.0,5965.0,0,2016-04-05
6060.0,6060.0,6060.0,6060.0,20,2016-04-06
5869.0,6012.0,5869.0,6012.0,1130,2016-04-07
5774.0,6012.0,5774.0,6012.0,120,2016-04-08
5965.0,6203.0,5965.0,6203.0,1210,2016-04-11
5965.0,6156.0,5965.0,6060.0,5360,2016-04-12
6060.0,6346.0,5965.0,6346.0,69820,2016-04-13
6012.0,6203.0,6012.0,6203.0,27680,2016-04-14
5917.0,6585.0,5917.0,6585.0,7200,2016-04-15
6585.0,6585.0,6585.0,6585.0,0,2016-04-19
6156.0,6585.0,6156.0,6585.0,1010,2016-04-20
6585.0,6919.0,6156.0,6585.0,3190,2016-04-21
6585.0,6919.0,6156.0,6871.0,210,2016-04-22
6919.0,7158.0,6919.0,7158.0,760,2016-04-25
7158.0,7158.0,7158.0,7158.0,0,2016-04-26
6681.0,7062.0,6681.0,7062.0,730,2016-04-27
6585.0,7015.0,6585.0,6585.0,190,2016-04-28
6585.0,6585.0,6156.0,6585.0,1270,2016-04-29
6585.0,6585.0,6156.0,6156.0,20,2016-05-04
6585.0,6585.0,5965.0,6012.0,420,2016-05-05
5965.0,6394.0,5965.0,6394.0,3040,2016-05-06
6394.0,6394.0,6394.0,6394.0,10,2016-05-09
6633.0,6824.0,6633.0,6633.0,520,2016-05-10
6633.0,6633.0,6633.0,6633.0,30,2016-05-11
6633.0,6633.0,6633.0,6633.0,0,2016-05-12
6633.0,6633.0,6633.0,6633.0,0,2016-05-13
6203.0,6633.0,6203.0,6633.0,2860,2016-05-16
6203.0,6633.0,6203.0,6203.0,250,2016-05-17
6585.0,6633.0,6585.0,6633.0,230,2016-05-18
6203.0,6633.0,6203.0,6633.0,20,2016-05-19
6633.0,6633.0,6633.0,6633.0,220,2016-05-20
6585.0,6681.0,6203.0,6203.0,420,2016-05-23
6203.0,6203.0,6203.0,6203.0,0,2016-05-24
