open,high,low,close,volume,tradingDate
12913.0,14820.0,12913.0,14800.0,3100,2017-08-03
14820.0,15469.0,12610.0,13600.0,18000,2017-08-07
13433.0,13433.0,13000.0,13200.0,4000,2017-08-14
13000.0,14733.0,12783.0,13000.0,79400,2017-08-21
13000.0,13000.0,11700.0,11700.0,100,2017-08-28
13433.0,17333.0,13433.0,17300.0,6700,2017-09-05
19933.0,19933.0,14733.0,14700.0,1200,2017-09-11
15816.0,17116.0,14560.0,16000.0,400,2017-09-18
17333.0,17333.0,12436.0,17300.0,900,2017-09-25
17333.0,17333.0,15599.0,15600.0,200,2017-10-02
15599.0,15599.0,15599.0,15600.0,0,2017-10-09
15599.0,15599.0,15599.0,15600.0,0,2017-10-16
15599.0,15599.0,13433.0,13400.0,2200,2017-10-23
13433.0,16466.0,13433.0,15300.0,300,2017-10-30
15296.0,15296.0,13043.0,13000.0,100,2017-11-06
13043.0,14993.0,13043.0,15000.0,100,2017-11-13
14993.0,14993.0,14993.0,15000.0,0,2017-11-20
14993.0,16466.0,12783.0,14000.0,26600,2017-11-27
13996.0,16076.0,13996.0,16000.0,600,2017-12-04
13650.0,15686.0,12133.0,14900.0,1160,2017-12-11
14950.0,14950.0,12740.0,12700.0,241,2017-12-18
14603.0,14603.0,14603.0,14600.0,2600,2017-12-25
14603.0,16466.0,14603.0,16500.0,100,2018-01-02
16466.0,16466.0,16466.0,16500.0,0,2018-01-08
15166.0,15166.0,15166.0,15200.0,100,2018-01-15
15166.0,19499.0,15166.0,18100.0,5300,2018-01-22
15599.0,17536.0,15599.0,17500.0,1000,2018-01-29
17536.0,17536.0,14910.0,17100.0,600,2018-02-05
18915.0,18915.0,18915.0,18900.0,100,2018-02-12
18915.0,18915.0,18915.0,18900.0,0,2018-02-21
18915.0,20696.0,18915.0,20700.0,100,2018-02-26
22031.0,24256.0,17402.0,20500.0,15400,2018-03-05
22031.0,22699.0,18693.0,21800.0,3540,2018-03-12
24034.0,24034.0,24034.0,24000.0,100,2018-03-19
24034.0,26704.0,24034.0,26700.0,109,2018-03-26
29820.0,29820.0,29820.0,29800.0,102,2018-04-02
29820.0,29820.0,29820.0,29800.0,2,2018-04-09
29820.0,29820.0,29820.0,29800.0,4,2018-04-16
29820.0,29820.0,29820.0,29800.0,1,2018-04-23
25369.0,25369.0,25369.0,25400.0,104,2018-05-02
25369.0,25369.0,21586.0,21600.0,1000,2018-05-07
21630.0,21630.0,21363.0,21400.0,2000,2018-05-14
21363.0,21363.0,18159.0,18200.0,2002,2018-05-21
20251.0,20696.0,17491.0,19300.0,3200,2018-05-28
19316.0,19316.0,12239.0,12200.0,500,2018-06-04
14064.0,17803.0,14064.0,17800.0,300,2018-06-11
17803.0,19138.0,17803.0,19100.0,2090,2018-06-18
19138.0,19138.0,19138.0,19100.0,10,2018-06-25
19138.0,19138.0,19138.0,19100.0,0,2018-07-02
19138.0,19138.0,17803.0,17800.0,810,2018-07-09
17803.0,17803.0,17803.0,17800.0,2,2018-07-16
17803.0,17803.0,17803.0,17800.0,0,2018-07-23
18306.0,18306.0,18306.0,18300.0,102,2018-07-30
18306.0,18306.0,18306.0,18300.0,0,2018-08-06
18306.0,18306.0,18306.0,18300.0,0,2018-08-13
20594.0,23340.0,20594.0,21400.0,10003,2018-08-20
21510.0,24576.0,21372.0,24000.0,14250,2018-08-27
24027.0,24027.0,24027.0,24000.0,0,2018-09-04
24210.0,27825.0,24210.0,25300.0,2900,2018-09-10
