ticker,stock,issuer,cw_issuer,type,exercise_type,exercise_method,term,issue_date,listing_date,first_trade_date,last_trade_date,maturity_date,conversion_ratio,adjusted_conversion_ratio,issue_price,exercise_price,adjusted_exercise_price,listed_volume,circulating_volume,listing_change
CHPG1901,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2019-10-06,2019-06-26,2019-06-28,2019-06-09,2019-10-09,2 : 1,,1200,22900,,2000000,2000000,-90.68
CHPG1902,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-11-06,2019-06-26,2019-06-28,2019-09-12,2019-11-12,5 : 1,,1000,41999,,3000000,3000000,-97.98
CHPG1904,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2019-06-26,2019-10-07,2019-12-07,2019-09-26,2019-09-30,1 : 1,,2200,23100,,1000000,1000000,-91.67
CHPG1905,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-06-26,2019-10-07,2019-12-07,2019-12-26,2019-12-30,1 : 1,,3300,23100,,1000000,1000000,-94.43
CHPG1906,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2019-08-14,2019-08-28,2019-08-30,2019-12-11,2019-11-14,2 : 1,,1500,28088,,5000000,5000000,-98.6
CHPG1907,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-07-10,2019-10-22,2019-10-24,2020-04-20,2020-04-22,1 : 1,,4200,21000,,1000000,1000000,-96.24
CHPG1908,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2019-10-22,2019-12-11,2019-11-14,2020-01-20,2020-01-22,2 : 1,,1450,20500,,2000000,2000000,56.86
CHPG1909,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-11-15,2019-05-12,2019-09-12,2020-05-13,2020-05-15,2 : 1,,1800,24680,,5000000,5000000,-98.42
CHPG2001,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-12-30,2020-01-20,2020-01-22,2020-06-26,2020-06-30,2 : 1,,1800,24000,,5000000,5000000,-25.62
CHPG2002,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,11 tháng,2020-01-16,2020-02-17,2020-02-19,2020-12-14,2020-12-16,1.6380 : 1,1.6380 : 1,1700,24570,24570,3000000,3000000,346.84
