ticker,stock,issuer,cw_issuer,type,exercise_type,exercise_method,term,issue_date,listing_date,first_trade_date,last_trade_date,maturity_date,conversion_ratio,adjusted_conversion_ratio,issue_price,exercise_price,adjusted_exercise_price,listed_volume,circulating_volume,listing_change
CMBB1901,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2019-06-13,2019-06-26,2019-06-28,2019-12-09,2019-09-16,1 : 1,,1900,20600,,3000000,3000000,19.47
CMBB1902,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-06-17,2019-06-26,2019-06-28,2019-12-13,2019-12-17,0.9270 : 1,0.9270 : 1,3200,20209,20209,5000000,5000000,-58.0
CMBB1903,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-07-10,2019-10-22,2019-10-24,2020-04-20,2020-04-22,1 : 1,,4000,22000,,3000000,3000000,-99.75
CMBB1904,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2019-07-10,2019-10-22,2019-10-24,2020-01-20,2020-01-22,1 : 1,,2900,22000,,2000000,2000000,-98.62
CMBB1905,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-08-10,2019-10-23,2019-10-25,2020-06-04,2020-08-04,2 : 1,,1700,23000,,5000000,5000000,-99.42
CMBB2001,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-12-20,2020-01-20,2020-01-22,2020-06-18,2020-06-22,2 : 1,,1600,21000,,5000000,5000000,-99.42
CMBB2002,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2020-08-04,2020-04-21,2020-04-23,2020-06-08,2020-10-08,1 : 1,,1300,18000,,3000000,3000000,-99.24
CMBB2003,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,7 tháng,2020-08-04,2020-04-21,2020-04-23,2020-05-11,2020-09-11,0.8715 : 1,0.8715 : 1,2000,15688,15688,3000000,3000000,28.56
CMBB2004,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán VNDIRECT (VND),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2020-01-04,2020-04-23,2020-04-27,2020-06-29,2020-01-07,1 : 1,,1100,17000,,2000000,2000000,-86.15
CMBB2005,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-04-24,2020-05-14,2020-05-18,2020-10-22,2020-10-26,0.8715 : 1,0.8715 : 1,2000,17431,17431,1500000,1500000,-48.39
CMBB2006,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-04-29,2020-12-06,2020-06-16,2020-10-27,2020-10-29,1.7431 : 1,1.7431 : 1,1100,14380,14380,5000000,5000000,92.03
CMBB2007,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-07-14,2020-06-08,2020-10-08,2021-12-01,2021-01-14,1.7431 : 1,1.7431 : 1,1400,14816,14816,5000000,5000000,325.94
CMBB2008,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán VNDIRECT (VND),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-09-30,2020-10-20,2020-10-22,2021-03-26,2021-03-30,0.87 : 1,,3400,17390,,3000000,3000000,211.35
CMBB2009,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-01-10,2020-10-23,2020-10-27,2021-03-30,2021-01-04,1.74 : 1,,1700,16522,,5000000,5000000,260.66
CMBB2010,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,8 tháng,2020-12-10,2020-10-27,2020-10-29,2021-10-06,2021-06-14,1 : 1,,4600,16000,,3000000,3000000,377.39
CMBB2011,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,5 tháng,2020-12-10,2020-10-27,2020-10-29,2021-10-03,2021-12-03,1 : 1,,3800,16000,,3000000,3000000,212.11
CMBB2101,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán VNDIRECT (VND),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-06-01,2021-05-02,2021-09-02,2021-02-07,2021-06-07,2 : 1,,1600,26000,,4000000,4000000,431.25
CMBB2102,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2021-12-04,2021-04-05,2021-06-05,2021-10-08,2021-12-08,7.4074 : 1,7.4074 : 1,1200,25532,25532,1800000,1800000,-65.7
CMBB2103,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-07-07,2021-03-08,2021-05-08,2022-05-01,2022-07-01,1.48 : 1,,3000,34815,,5000000,5000000,-99.03
CMBB2104,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,5 tháng,2021-08-19,2021-07-09,2021-09-09,2022-01-17,2022-01-19,2 : 1,,2900,32000,,8000000,8000000,-99.62
CMBB2105,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-09-08,2021-09-23,2021-09-27,2022-08-02,2022-10-02,1 : 1,,2500,36000,,3000000,3000000,-98.33
CMBB2106,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán VNDIRECT (VND),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2021-09-28,2021-10-15,2021-10-19,2022-01-24,2022-01-26,4 : 1,,1000,34000,,3000000,3000000,-97.98
CMBB2107,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-08-10,2021-10-27,2021-10-29,2022-06-04,2022-08-04,2 : 1,,2200,30000,,10000000,10000000,-32.02
CMBB2108,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2021-01-11,2021-11-22,2021-11-24,2022-02-25,2022-01-03,2 : 1,,1880,30000,,23000000,23000000,3.14
